#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	4.937812677653841825e-02 6.773111929158962541e-01 8.303143593268556431e-05 -8.297358086929245119e-05 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	4.937682938045111214e-02 6.773124881424051891e-01 3.321273759843609277e-04 -3.316933318502087542e-04 -9.781795076552561713e-10 9.769665691903035151e-10
.0156250	4.937293739671785864e-02 6.773163738367933284e-01 6.642031841897067098e-04 -6.633299981006830943e-04 -3.912201422395639867e-09 3.907354478813434078e-09
.0234375	4.936645148414389728e-02 6.773228498892602811e-01 9.961700497650191437e-04 -9.949083814188310580e-04 -8.800516356514258461e-09 8.789626689033401314e-09
.0312500	4.935737265811232510e-02 6.773319151154084672e-01 1.327980079559020485e-03 -1.326317072144507199e-03 -1.564054298643181015e-08 1.562122203641181494e-08
.0390625	4.934570235473954847e-02 6.773435680627097888e-01 1.659580011540210970e-03 -1.657513955329707484e-03 -2.442866949322168379e-08 2.439855665140062598e-08
.0468750	4.933144242193032020e-02 6.773578068934268392e-01 1.990917246328062148e-03 -1.988448648051492976e-03 -3.516025557887953184e-08 3.511702592806064913e-08
.0546875	4.931459511796943557e-02 6.773746293725193546e-01 2.321939330903422145e-03 -2.319069786014195996e-03 -4.782963506283984400e-08 4.777100696740194728e-08
.0625000	4.929516311063927153e-02 6.773940328643635045e-01 2.652593921130379836e-03 -2.649325742069564334e-03 -6.243011905038955864e-08 6.235386159060173196e-08
.0703125	4.927314947639746534e-02 6.774160143318915805e-01 2.982828780956803000e-03 -2.979164841121944522e-03 -7.895399966749800415e-08 7.885793994148547956e-08
.0781250	4.924855769950465395e-02 6.774405703366410680e-01 3.312591790896628283e-03 -3.308535447203438378e-03 -9.739255437575015567e-08 9.727458451120777197e-08
.0859375	4.922139167106841240e-02 6.774676970392404796e-01 3.641830959627400961e-03 -3.637386007219862126e-03 -1.177360508442356464e-07 1.175941347790685427e-07
.0937500	4.919165568799054034e-02 6.774973902001530934e-01 3.970494436602550747e-03 -3.965665080007414918e-03 -1.399737523821920194e-07 1.398059324563962473e-07
.1015625	4.915935445181229824e-02 6.775296451805979947e-01 4.298530525153930817e-03 -4.293321357930399845e-03 -1.640939239447022770e-07 1.638983270472554367e-07
.1093750	4.912449306745567124e-02 6.775644569436148901e-01 4.625887695948530109e-03 -4.620303682796242373e-03 -1.900838386822542460e-07 1.898586821198917341e-07
