#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	2.646264963267551742e-02 7.002129072878695570e-01 2.927630068557993573e-05 -2.927681971548203146e-05 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	2.646219220516953310e-02 7.002133647706514363e-01 1.171032801098586547e-04 -1.170779234835218891e-04 -3.448967917511305398e-10 3.447663346900644714e-10
.0156250	2.646081997009296083e-02 7.002147372207904175e-01 2.341949664298269675e-04 -2.341307999236960310e-04 -1.379467756468153172e-09 1.378945911293865221e-09
.0234375	2.645853306000294641e-02 7.002170242148549884e-01 3.512628405869977120e-04 -3.511447063549460079e-04 -3.103354702693018305e-09 3.102180547598119691e-09
.0312500	2.645533171496036035e-02 7.002202255825492605e-01 4.682940265088703612e-04 -4.681276052965024676e-04 -5.515960788880921049e-09 5.513873428803720111e-09
.0390625	2.645121626812799165e-02 7.002243410097096499e-01 5.852765171652713535e-04 -5.850635465352543689e-04 -8.616450740797158864e-09 8.613189326032952029e-09
.0468750	2.644618714716685456e-02 7.002293700768347229e-01 7.021982046395581351e-04 -7.019394809332533481e-04 -1.240375115610548033e-08 1.239905488756517254e-08
.0546875	2.644024487441591631e-02 7.002353122658770967e-01 8.190469703452261854e-04 -8.187429310083934415e-04 -1.687655089465867339e-08 1.687015904195296872e-08
.0625000	2.643339006687922543e-02 7.002421669623882794e-01 9.358107014044688213e-04 -9.354616152748296276e-04 -2.203330155560499122e-08 2.202495348853232906e-08
.0703125	2.642562343614960479e-02 7.002499334564344924e-01 1.052477296814262201e-03 -1.052083342629379610e-03 -2.787221804208403099e-08 2.786165321377736501e-08
.0781250	2.641694578829934317e-02 7.002586109430918304e-01 1.169034671040082660e-03 -1.168595974776603973e-03 -3.439127921046330837e-08 3.437823717781133803e-08
.0859375	2.640735802374784280e-02 7.002681985227779959e-01 1.285470756742417790e-03 -1.284987411641388966e-03 -4.158822860488499615e-08 4.157244906377398822e-08
.0937500	2.639686113710972004e-02 7.002786952015163102e-01 1.401773507171988255e-03 -1.401245585130408283e-03 -4.946057527974722445e-08 4.944179804187285744e-08
.1015625	2.638545621702496208e-02 7.002900998911713026e-01 1.517930898418309599e-03 -1.517358456778797847e-03 -5.800559470542478107e-08 5.798355973203194574e-08
