#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.038384835515569648e+03 0.000000000000000000e+00 8.662790916619711652e+02 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.016018060617602941e+03 0.000000000000000000e+00 4.708999219867443571e+03 -0.000000000000000000e+00 -1.322280705770555002e-02 0.000000000000000000e+00
.0156250	9.517671269239554022e+02 0.000000000000000000e+00 8.872032653765760188e+03 -0.000000000000000000e+00 -4.729333722308987770e-02 0.000000000000000000e+00
.0234375	8.587172459565623512e+02 0.000000000000000000e+00 1.160306037250837471e+04 -0.000000000000000000e+00 -8.880968223470395162e-02 0.000000000000000000e+00
.0312500	7.452984100171121327e+02 0.000000000000000000e+00 1.328434946393948121e+04 -0.000000000000000000e+00 -1.218629127410310042e-01 0.000000000000000000e+00
.0390625	6.222801436353269082e+02 0.000000000000000000e+00 1.378893430498274938e+04 -0.000000000000000000e+00 -1.340434422275351145e-01 0.000000000000000000e+00
.0468750	4.998746576263749262e+02 0.000000000000000000e+00 1.324465169612644058e+04 -0.000000000000000000e+00 -1.204139653129546045e-01 2.131628207280300852e-19
.0546875	3.862836654412887469e+02 0.000000000000000000e+00 1.190825487184726990e+04 -0.000000000000000000e+00 -8.421527027719211134e-02 -5.684341886080801952e-19
.0625000	2.870352573252533261e+02 0.000000000000000000e+00 1.009132433556170326e+04 -0.000000000000000000e+00 -3.473332834022947735e-02 6.394884621840902076e-19
.0703125	2.049884152953799514e+02 0.000000000000000000e+00 8.100084003597746232e+03 -0.000000000000000000e+00 1.623185716047334873e-02 -5.684341886080801952e-19
.0781250	1.407171595843975354e+02 0.000000000000000000e+00 6.187644300809450215e+03 -0.000000000000000000e+00 5.806052234360557784e-02 5.684341886080801952e-19
.0859375	9.299500714927417278e+01 0.000000000000000000e+00 4.518981384240603802e+03 -0.000000000000000000e+00 8.440891645361103812e-02 -5.684341886080801952e-19
.0937500	5.933415778528546269e+01 0.000000000000000000e+00 3.165234154664148718e+03 -0.000000000000000000e+00 9.452094751249114080e-02 5.684341886080801952e-19
.1015625	3.665305241885327803e+01 0.000000000000000000e+00 2.129582972824833178e+03 -0.000000000000000000e+00 9.181865539952462074e-02 4.263256414560601705e-19
.1093750	2.195156790586886686e+01 0.000000000000000000e+00 1.377812704647353485e+03 -0.000000000000000000e+00 8.106788615492160899e-02 -1.705302565824240682e-18
.1171875	1.274142532910990511e+01 0.000000000000000000e+00 8.581589494839738563e+02 -0.000000000000000000e+00 6.644373329168691555e-02 7.105427357601002199e-19
.1250000	7.158713445545406451e+00 0.000000000000000000e+00 5.148353174791976699e+02 -0.000000000000000000e+00 5.103609098168706421e-02 5.684341886080801952e-19
.1328125	3.888473365533692494e+00 0.000000000000000000e+00 2.974725497897532591e+02 -0.000000000000000000e+00 3.691491161303500634e-02 5.684341886080801952e-19
.1406250	2.040146197572695996e+00 0.000000000000000000e+00 1.654829731046019958e+02 -0.000000000000000000e+00 2.522446276538452270e-02 5.684341886080801952e-19
.1484375	1.033324017742170087e+00 0.000000000000000000e+00 8.860869876211324936e+01 -0.000000000000000000e+00 1.632586250144671056e-02 -3.979039320256561463e-18
.1562500	5.050766794739252052e-01 0.000000000000000000e+00 4.566390924894295011e+01 -0.000000000000000000e+00 1.003084306648319851e-02 5.115907697472721660e-18
.1640625	2.381955653807135975e-01 0.000000000000000000e+00 2.264895759684537424e+01 -0.000000000000000000e+00 5.861816179824320960e-03 -3.979039320256561463e-18
.1718750	1.083695974988804350e-01 0.000000000000000000e+00 1.081261161616856548e+01 -0.000000000000000000e+00 3.263287084025935647e-03 5.684341886080801952e-19
.1796875	4.755949884611732764e-02 0.000000000000000000e+00 4.968873376620232207e+00 -0.000000000000000000e+00 1.732957285818184038e-03 5.684341886080801952e-19
.1875000	2.013213298750816602e-02 0.000000000000000000e+00 2.198205203843251354e+00 -0.000000000000000000e+00 8.788510945152703310e-04 5.684341886080801952e-19
.1953125	8.219305155978197039e-03 0.000000000000000000e+00 9.362581474689882777e-01 -0.000000000000000000e+00 4.260332542969998311e-04 5.684341886080801952e-19
.2031250	3.236265999851786323e-03 0.000000000000000000e+00 3.839444097209873674e-01 -0.000000000000000000e+00 1.975663273978759120e-04 5.684341886080801952e-19
.2109375	1.228818573548396721e-03 0.000000000000000000e+00 1.516031854965696757e-01 -0.000000000000000000e+00 8.770215469823033547e-05 2.842170943040400976e-19
.2187500	4.499201541507732841e-04 0.000000000000000000e+00 5.764094071727373508e-02 -0.000000000000000000e+00 3.728875214462561383e-05 -8.242295734817162204e-18
.2265625	1.588384238687063959e-04 0.000000000000000000e+00 2.110308675400150713e-02 -0.000000000000000000e+00 1.519221837551113129e-05 9.947598300641404042e-18
.2343750	5.406482679553253998e-05 0.000000000000000000e+00 7.439723292076220497e-03 -0.000000000000000000e+00 5.933553812345470846e-06 -8.526512829121203024e-18
.2421875	1.774099549544905740e-05 0.000000000000000000e+00 2.525583075197511494e-03 -0.000000000000000000e+00 2.222323218227756185e-06 9.663381206337363222e-18
.2500000	5.611871388137915152e-06 0.000000000000000000e+00 8.255692613804018701e-04 -0.000000000000000000e+00 7.984060800054455566e-07 -8.526512829121203024e-18
.2578125	1.711055702960863849e-06 0.000000000000000000e+00 2.598483963745754381e-04 -0.000000000000000000e+00 2.752139797453831390e-07 9.663381206337363222e-18
.2656250	5.028108693968351637e-07 0.000000000000000000e+00 7.874875807998150522e-05 -0.000000000000000000e+00 9.104063859812983896e-08 -8.526512829121203024e-18
.2734375	1.423912913527010958e-07 0.000000000000000000e+00 2.297744387471807232e-05 -0.000000000000000000e+00 2.890615978883699138e-08 9.663381206337363222e-18
.2812500	3.885537566626178618e-08 0.000000000000000000e+00 6.454547372256146250e-06 -0.000000000000000000e+00 8.810353074527122794e-09 -9.094947017729283123e-18
.2890625	1.021537767107074156e-08 0.000000000000000000e+00 1.745428563616369155e-06 -0.000000000000000000e+00 2.578029776273086352e-09 9.663381206337363222e-18
.2968750	2.587234343461096839e-09 0.000000000000000000e+00 4.543294160994346452e-07 -0.000000000000000000e+00 7.242780058539171683e-10 -8.526512829121203024e-18
.3046875	6.311503126439470388e-10 0.000000000000000000e+00 1.138220262266918645e-07 -0.000000000000000000e+00 1.953728513189639890e-10 -8.526512829121203024e-18
.3125000	1.482784650871002734e-10 0.000000000000000000e+00 2.744203195896786993e-08 -0.000000000000000000e+00 5.060246434881571095e-11 2.785327524179593255e-17
.3203125	3.354274911170942831e-11 0.000000000000000000e+00 6.366223591478823605e-09 -0.000000000000000000e+00 1.258412874951182177e-11 -2.671640686457976927e-17
.3281250	7.304923601773273685e-12 0.000000000000000000e+00 1.420880044254036997e-09 -0.000000000000000000e+00 3.004712410968226504e-12 9.663381206337363222e-18
.3359375	1.531242792874144416e-12 0.000000000000000000e+00 3.050491789021936671e-10 -0.000000000000000000e+00 6.887856357532043124e-13 -8.526512829121203024e-18
.3437500	3.088816235241272981e-13 0.000000000000000000e+00 6.298523054654446118e-11 -0.000000000000000000e+00 1.515754281704224924e-13 2.785327524179593255e-17
.3515625	5.994611088381704469e-14 0.000000000000000000e+00 1.250476963524103562e-11 -0.000000000000000000e+00 3.201756214951498698e-14 -4.490630090003833244e-17
