#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	8.846016703231853171e+02 0.000000000000000000e+00 6.598306368164307969e+02 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	8.674829162441875496e+02 0.000000000000000000e+00 3.594515989581241683e+03 -0.000000000000000000e+00 -1.007477862582950232e-02 0.000000000000000000e+00
.0156250	8.180888204597146114e+02 0.000000000000000000e+00 6.812394250802881288e+03 -0.000000000000000000e+00 -3.646296208354815604e-02 0.000000000000000000e+00
.0234375	7.459544638416729185e+02 0.000000000000000000e+00 8.999991184485454141e+03 -0.000000000000000000e+00 -6.981370770557256134e-02 0.000000000000000000e+00
.0312500	6.568745515924418896e+02 0.000000000000000000e+00 1.045308258248132915e+04 -0.000000000000000000e+00 -9.858442667530036008e-02 0.000000000000000000e+00
.0390625	5.585863279474226601e+02 0.000000000000000000e+00 1.105006136521717053e+04 -0.000000000000000000e+00 -1.130119127372293530e-01 0.000000000000000000e+00
.0468750	4.587187435021425017e+02 0.000000000000000000e+00 1.085057230068994613e+04 -0.000000000000000000e+00 -1.080530023873426809e-01 2.131628207280300852e-19
.0546875	3.637389347071840575e+02 0.000000000000000000e+00 1.001094678597048369e+04 -0.000000000000000000e+00 -8.439112723614344835e-02 -5.684341886080801952e-19
.0625000	2.783840981589038961e+02 0.000000000000000000e+00 8.738036427586393984e+03 -0.000000000000000000e+00 -4.753530759290058166e-02 6.394884621840902076e-19
.0703125	2.055335954877211293e+02 0.000000000000000000e+00 7.249560346956364810e+03 -0.000000000000000000e+00 -5.745183939995904959e-03 -5.684341886080801952e-19
.0781250	1.463699450749339519e+02 0.000000000000000000e+00 5.741053182493255008e+03 -0.000000000000000000e+00 3.244268253156249587e-02 5.684341886080801952e-19
.0859375	1.006422720772213637e+02 0.000000000000000000e+00 4.358063387121200321e+03 -0.000000000000000000e+00 6.061528830680209395e-02 -5.684341886080801952e-19
.0937500	6.696911088166035597e+01 0.000000000000000000e+00 3.182157757956743808e+03 -0.000000000000000000e+00 7.613722325198829521e-02 5.684341886080801952e-19
.1015625	4.324794370714662506e+01 0.000000000000000000e+00 2.239497771651328094e+03 -0.000000000000000000e+00 8.009034737494402645e-02 4.263256414560601705e-19
.1093750	2.715938678917628835e+01 0.000000000000000000e+00 1.520879901172343580e+03 -0.000000000000000000e+00 7.558966396979356628e-02 -1.705302565824240682e-18
.1171875	1.659300002808300079e+01 0.000000000000000000e+00 9.977525122247632225e+02 -0.000000000000000000e+00 6.598228992885971089e-02 7.105427357601002199e-19
.1250000	9.854730047505505297e+00 0.000000000000000000e+00 6.328203632361870632e+02 -0.000000000000000000e+00 5.402032929181341259e-02 5.684341886080801952e-19
.1328125	5.682953896784980863e+00 0.000000000000000000e+00 3.881094171429091375e+02 -0.000000000000000000e+00 4.175683052578493121e-02 5.684341886080801952e-19
.1406250	3.178893985113806497e+00 0.000000000000000000e+00 2.301165095635085152e+02 -0.000000000000000000e+00 3.058912768241933353e-02 5.684341886080801952e-19
.1484375	1.723643460960303742e+00 0.000000000000000000e+00 1.318672490256458616e+02 -0.000000000000000000e+00 2.129449716644607471e-02 -3.979039320256561463e-18
.1562500	9.055198570129115998e-01 0.000000000000000000e+00 7.302091058296429082e+01 -0.000000000000000000e+00 1.411964344897880148e-02 5.115907697472721660e-18
.1640625	4.607995948789863627e-01 0.000000000000000000e+00 3.907136465175813811e+01 -0.000000000000000000e+00 8.934889930652748988e-03 -3.979039320256561463e-18
.1718750	2.271010221420330100e-01 0.000000000000000000e+00 2.020161468086605439e+01 -0.000000000000000000e+00 5.404941960047367905e-03 5.684341886080801952e-19
.1796875	1.083861496191637214e-01 0.000000000000000000e+00 1.009398089405537569e+01 -0.000000000000000000e+00 3.130001821334464293e-03 5.684341886080801952e-19
.1875000	5.008926463307897953e-02 0.000000000000000000e+00 4.874462082307781330e+00 -0.000000000000000000e+00 1.737274634596935353e-03 5.684341886080801952e-19
.1953125	2.241335637527141697e-02 0.000000000000000000e+00 2.275188571836737506e+00 -0.000000000000000000e+00 9.251225724870646002e-04 5.684341886080801952e-19
.2031250	9.710432490684163184e-03 0.000000000000000000e+00 1.026525216520423500e+00 -0.000000000000000000e+00 4.730477243423946983e-04 5.684341886080801952e-19
.2109375	4.073038763249965145e-03 0.000000000000000000e+00 4.477270221069309941e-01 -0.000000000000000000e+00 2.324323382900118885e-04 2.842170943040400976e-19
.2187500	1.653961602421233574e-03 0.000000000000000000e+00 1.887873307683338997e-01 -0.000000000000000000e+00 1.098090108125173770e-04 -8.242295734817162204e-18
.2265625	6.501852208621477537e-04 0.000000000000000000e+00 7.696037813806727579e-02 -0.000000000000000000e+00 4.990615743422682820e-05 9.947598300641404042e-18
.2343750	2.474175285418645648e-04 0.000000000000000000e+00 3.033263777098937908e-02 -0.000000000000000000e+00 2.182917936739515395e-05 -8.526512829121203024e-18
.2421875	9.113419060806187116e-05 0.000000000000000000e+00 1.155875059888193494e-02 -0.000000000000000000e+00 9.192908838054723180e-06 9.663381206337363222e-18
.2500000	3.249109263809119269e-05 0.000000000000000000e+00 4.258670395980907776e-03 -0.000000000000000000e+00 3.728574432334354581e-06 -8.526512829121203024e-18
.2578125	1.121121439421876471e-05 0.000000000000000000e+00 1.517050931316879774e-03 -0.000000000000000000e+00 1.456898421491425083e-06 9.663381206337363222e-18
.2656250	3.743847640417125258e-06 0.000000000000000000e+00 5.224995883764184954e-04 -0.000000000000000000e+00 5.485515408691150959e-07 -8.526512829121203024e-18
.2734375	1.209848572195978495e-06 0.000000000000000000e+00 1.739899962996592996e-04 -0.000000000000000000e+00 1.990661294574881150e-07 9.663381206337363222e-18
.2812500	3.783202327227148844e-07 0.000000000000000000e+00 5.601499428731496666e-05 -0.000000000000000000e+00 6.963790959328281920e-08 -9.094947017729283123e-18
.2890625	1.144643282701484369e-07 0.000000000000000000e+00 1.743457833426462271e-05 -0.000000000000000000e+00 2.348697448364291098e-08 9.663381206337363222e-18
.2968750	3.350633337418459252e-08 0.000000000000000000e+00 5.245989653039789259e-06 -0.000000000000000000e+00 7.638269409644413241e-09 -8.526512829121203024e-18
.3046875	9.488365775462485655e-09 0.000000000000000000e+00 1.525914178935999622e-06 -0.000000000000000000e+00 2.395481230555361187e-09 -8.526512829121203024e-18
.3125000	2.599097731773923844e-09 0.000000000000000000e+00 4.290356871002500094e-07 -0.000000000000000000e+00 7.245265397672730165e-10 2.785327524179593255e-17
.3203125	6.886149018880679487e-10 0.000000000000000000e+00 1.165969590073545541e-07 -0.000000000000000000e+00 2.113510221397099340e-10 -2.671640686457976927e-17
.3281250	1.764434523077447300e-10 0.000000000000000000e+00 3.062507542583717717e-08 -0.000000000000000000e+00 5.946468364602132740e-11 9.663381206337363222e-18
.3359375	4.371789297173283825e-11 0.000000000000000000e+00 7.773641305800328233e-09 -0.000000000000000000e+00 1.613713516550451918e-11 -8.526512829121203024e-18
.3437500	1.047328499164313648e-11 0.000000000000000000e+00 1.906715461804198219e-09 -0.000000000000000000e+00 4.223826640558136267e-12 2.785327524179593255e-17
.3515625	2.425594030738525785e-12 0.000000000000000000e+00 4.518697262714504554e-10 -0.000000000000000000e+00 1.066325714859190506e-12 -4.490630090003833244e-17
.3593750	5.430027289380773126e-13 0.000000000000000000e+00 1.034554825951784228e-10 -0.000000000000000000e+00 2.596341563332385847e-13 2.785327524179593255e-17
.3671875	1.174809095376854745e-13 0.000000000000000000e+00 2.287960137535124435e-11 -0.000000000000000000e+00 6.096746645954404756e-14 -8.526512829121203024e-18
.3750000	2.456076498124594530e-14 0.000000000000000000e+00 4.886911413698494065e-12 -0.000000000000000000e+00 1.380598339714970724e-14 -7.958078640513122925e-18
.3828125	4.960765013037672660e-15 0.000000000000000000e+00 1.007957801533899636e-12 -0.000000000000000000e+00 3.014603364949968768e-15 2.785327524179593255e-17
.3906250	9.678435889994454205e-16 0.000000000000000000e+00 2.007229797566111375e-13 -0.000000000000000000e+00 6.346578127550224030e-16 -9.094947017729283123e-18
.3984375	1.823574336455876403e-16 0.000000000000000000e+00 3.858492415353916754e-14 -0.000000000000000000e+00 1.288074104739673677e-16 -8.526512829121203024e-18
.4062500	3.317490652506323386e-17 0.000000000000000000e+00 7.158411899064619176e-15 -0.000000000000000000e+00 2.519828935551245299e-17 -7.958078640513122925e-18
.4140625	5.825911862856849271e-18 0.000000000000000000e+00 1.281446027421537599e-15 -0.000000000000000000e+00 4.750719963768747158e-18 2.785327524179593255e-17
.4218750	9.873693086553845905e-19 0.000000000000000000e+00 2.212930848070504693e-16 -0.000000000000000000e+00 8.630320497600702890e-19 -4.490630090003833244e-17
