#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	4.734338427986487297e+00 2.204488116248694632e-02 1.065195816329537193e-01 -1.252252533591439402e-03 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	4.729599478114236533e+00 2.205013774338615562e-02 5.990904391813975938e-01 -4.199929671861033637e-03 -1.126621272184789576e-06 1.536922402829816518e-08
.0156250	4.715411070904341528e+00 2.206591500783960935e-02 1.085582366036225155e+00 -8.913601789983609941e-03 -4.484258037855373390e-06 6.148020818474718206e-08
.0234375	4.695622552916683290e+00 2.210982325530908010e-02 1.326319903740039718e+00 -1.475804894338334991e-02 -1.002101761358298875e-05 1.384240657944969663e-07
.0312500	4.669328640821776233e+00 2.217717883363079512e-02 1.643088715768699970e+00 -2.023430964126254200e-02 -1.765433127844776942e-05 2.463681580120332581e-07
.0390625	4.636433544224403569e+00 2.226690778200146603e-02 1.976010222141110884e+00 -2.561797085826199999e-02 -2.727215888188864914e-05 3.855540253067410149e-07
.0468750	4.597022980393622227e+00 2.237862617739505566e-02 2.311236213365805092e+00 -3.097045559913783053e-02 -3.873501631992678845e-05 5.562966705062059102e-07
.0546875	4.551270398585971044e+00 2.251221376917245109e-02 2.642640475578304837e+00 -3.631752189196360558e-02 -5.187870560329368270e-05 7.589849979396252477e-07
.0625000	4.499406267051783814e+00 2.266768403571928214e-02 2.966677293596279519e+00 -4.167330055112372644e-02 -6.651753887967624718e-05 9.940826230276324422e-07
.0703125	4.441703897731182238e+00 2.284513330569226675e-02 3.280928528618049178e+00 -4.704713413870445504e-02 -8.244794128676544306e-05 1.262128879268867100e-06
.0781250	4.378470869296275936e+00 2.304471753535819456e-02 3.583576162204503035e+00 -5.244609022168950085e-02 -9.945232284280671028e-05 1.563739927083720576e-06
.0859375	4.310042658196901577e+00 2.326664054383420499e-02 3.873178673481228351e+00 -5.787604681714982047e-02 -1.173031092900782876e-04 1.899609896213206128e-06
.0937500	4.236777244556419575e+00 2.351114757009531431e-02 4.148565337182481549e+00 -6.334221725097921585e-02 -1.357668223909364654e-04 2.270512006338724920e-06
.1015625	4.159050206254774729e+00 2.377852150144488252e-02 4.408781691527459579e+00 -6.884942607351038357e-02 -1.546081034748403576e-04 2.677299619327984465e-06
.1093750	4.077250109556193713e+00 2.406908050993128434e-02 4.653058901575607642e+00 -7.440226361151802692e-02 -1.735935805341103024e-04 3.120907184769425103e-06
.1171875	3.991774132261453278e+00 2.438317644741105905e-02 4.880794753690858023e+00 -8.000517681226267108e-02 -1.924954888190631545e-04 3.602351049324437555e-06
.1250000	3.903023913251967958e+00 2.472119364736879987e-02 5.091540359712949382e+00 -8.566252456483147704e-02 -2.110949673274216095e-04 4.122730110263814017e-06
.1328125	3.811401648140823273e+00 2.508354793755018797e-02 5.284989567051690429e+00 -9.137861220161927478e-02 -2.291849682646399414e-04 4.683226304343980955e-06
.1406250	3.717306460578889027e+00 2.547068575560285097e-02 5.460969510828623363e+00 -9.715771329021742619e-02 -2.465727328007513101e-04 5.285104935176884433e-06
