#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	5.692425496927506856e+01 5.566796644685301560e-15 5.739314684326353166e+00 -1.581901610140805000e-14 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	5.672176444837808162e+01 5.773159728050814010e-15 3.171502584253438783e+01 -6.680781325501258215e-14 -7.377412760859499829e-05 1.861386624552840427e-19
.0156250	5.611860443216998817e+01 6.439293542825907934e-15 5.995471275539299683e+01 -1.530663500491628076e-13 -2.904552151337688824e-04 1.025860863935907354e-18
.0234375	5.524450461916875099e+01 8.104628079763642745e-15 7.925229702575779811e+01 -2.559423052231440626e-13 -6.379355431586352125e-04 2.507553384582669247e-18
.0312500	5.407869548130244652e+01 1.076916333886401844e-14 9.998121462254145797e+01 -4.105436616950741804e-13 -1.097006937554525748e-03 6.100210613739517207e-18
.0390625	5.263017750904604242e+01 1.454392162258955068e-14 1.198844867624367510e+02 -6.330905727842619390e-13 -1.642296108655852665e-03 1.299634330057233036e-17
.0468750	5.091683964041902044e+01 2.076117056049042731e-14 1.382555511213965644e+02 -9.753280160718035574e-13 -2.243533842338451406e-03 2.656797936543128956e-17
.0546875	4.896225561506600599e+01 2.986499936241671094e-14 1.546774001986363203e+02 -1.499443939143937630e-12 -2.867116859479630978e-03 5.028587104076495290e-17
.0625000	4.679444355949561185e+01 4.407585407761871465e-14 1.688643339677824997e+02 -2.261541625393908218e-12 -3.477885689056363187e-03 9.402472545559566754e-17
.0703125	4.444508672927810977e+01 6.517009154549668892e-14 1.806208130877321310e+02 -3.450766498186784803e-12 -4.041047780879719262e-03 1.772547203751684504e-16
.0781250	4.194884404395298816e+01 9.736655925962622860e-14 1.898285937685662645e+02 -5.271615934220281565e-12 -4.524164883714171942e-03 3.189693144470840481e-16
.0859375	3.934261471271431532e+01 1.459943277382080851e-13 1.964418913476598050e+02 -8.016572316273089208e-12 -4.899104575346101102e-03 5.706752463265410083e-16
.0937500	3.666469107034868813e+01 2.194910919683934480e-13 2.004842041288206076e+02 -1.218698336770467227e-11 -5.143827399720766157e-03 1.004102665879472821e-15
.1015625	3.395376923955128490e+01 3.307354390358341334e-13 2.020442509461857696e+02 -1.850260669421174850e-11 -5.243849061427600065e-03 1.744892320960926670e-15
.1093750	3.124782136305549329e+01 4.982680934517702553e-13 2.012698841734611221e+02 -2.804664507360733384e-11 -5.193195773818959707e-03 2.998021694840126532e-15
.1171875	2.858287316638634934e+01 7.507328092515308526e-13 1.983596149350727273e+02 -4.242779903942128093e-11 -4.994680718027276131e-03 5.093050812813832188e-15
.1250000	2.599177227752358732e+01 1.130429083673334389e-12 1.935519755404231432e+02 -6.403502614176440143e-11 -4.659389153740194946e-03 8.575287716174356891e-15
.1328125	2.350306516012275893e+01 1.700195539910964726e-12 1.871133953554088407e+02 -9.643611290786671420e-11 -4.205372883033988568e-03 1.432130021203363626e-14
.1406250	2.114011119457914489e+01 2.554179090452635137e-12 1.793255228301170519e+02 -1.448970897657464819e-10 -3.655700887562309247e-03 2.370424838006268413e-14
.1484375	1.892054333561656065e+01 3.832267836401115346e-12 1.704729593725781172e+02 -2.171579735804944571e-10 -3.036148621489037549e-03 3.891517776557780533e-14
.1562500	1.685613730312248393e+01 5.741407349546534533e-12 1.608322284445355308e+02 -3.246123213151698945e-10 -2.372884034356832501e-03 6.347677116334254132e-14
.1640625	1.495308718517458502e+01 8.588352251592823450e-12 1.506625804691910844e+02 -4.840172499007732766e-10 -1.690492474102288931e-03 1.027976361409202291e-13
.1718750	1.321262256444363459e+01 1.282596251428458345e-11 1.401990075360060359e+02 -7.198523261296938674e-10 -1.010579245906733509e-03 1.654327626946297186e-13
.1796875	1.163185765540228189e+01 1.912126013081660858e-11 1.296476342390209311e+02 -1.067881023517810995e-09 -3.510359715135473739e-04 2.646387648981321676e-13
.1875000	1.020474583549491143e+01 2.845412794272306201e-11 1.191834498626954257e+02 -1.580160387415351889e-09 2.740919445468444006e-04 4.208688753505890823e-13
.1953125	8.923022916327859377e+00 4.225864103091225843e-11 1.089501477531333933e+02 -2.332130900134840126e-09 8.543011347937045372e-04 6.655401342067134631e-13
.2031250	7.777051368792226249e+00 6.262734775219769290e-11 9.906166440184728117e+01 -3.432868151722609608e-09 1.382090279096614841e-03 1.046636044461939782e-12
.2109375	6.756514236775652549e+00 9.260170408253998175e-11 8.960490266137514936e+01 -5.039543840127860094e-09 1.852364361973493721e-03 1.637056668474025597e-12
.2187500	5.850941727447524165e+00 1.365870749836517462e-10 8.064310575717227891e+01 -7.377652011199862407e-09 2.261908242645194276e-03 2.546742467667463444e-12
.2265625	5.050079348150370961e+00 2.009382660261849196e-10 7.221941623287708012e+01 -1.076952496513627505e-08 2.608990982057453421e-03 3.940760376432478989e-12
.2343750	4.344121993613089039e+00 2.947858623869592520e-10 6.436027618853279364e+01 -1.567410620848355050e-08 2.893108827610614293e-03 6.065251929774075865e-12
.2421875	3.723844627643502658e+00 4.311946355528561980e-10 5.707846320501856496e+01 -2.274201462277382490e-08 3.114840131772492887e-03 9.285211519331737023e-12
.2500000	3.180659721496250647e+00 6.287809162230928450e-10 5.037567839237723888e+01 -3.289170903171879401e-08 3.275770251685902485e-03 1.413853063491453502e-11
.2578125	2.706627233547745703e+00 9.139587975326435298e-10 4.424469170538957741e+01 -4.741417364835378173e-08 3.378444214468153284e-03 2.141355004764907455e-11
.2656250	2.294436978960988860e+00 1.324046317030536102e-09 3.867110152827804370e+01 -6.811589629912573393e-08 3.426313639623923980e-03 3.225793918175076689e-11
.2734375	1.937377320100597267e+00 1.911536373633282437e-09 3.363478615120873627e+01 -9.751332461321036752e-08 3.423656734605939628e-03 4.833345533477098016e-11
.2812500	1.629299063126103064e+00 2.749946936830838240e-09 2.911112363897074928e+01 -1.390960638639980184e-07 3.375462383207585969e-03 7.203144006321854481e-11
.2890625	1.364579587858463450e+00 3.941788562222825476e-09 2.507204328388977643e+01 -1.976808618297846636e-07 3.287279360690552668e-03 1.067726432015373385e-10
.2968750	1.138089547422063141e+00 5.629366972570437611e-09 2.148695395188221724e+01 -2.798856891881818481e-07 3.165038736916835939e-03 1.574218681291204670e-10
.3046875	9.451627679502594415e-01 8.009356622373786649e-09 1.832357725004619198e+01 -3.947608467388926421e-07 3.014861550307540612e-03 2.308561818306092799e-10
