#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	6.972550227679221281e-04 7.259695817590144928e-01 6.819187677744235443e-08 -6.819481996963526352e-08 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	6.972539572726210895e-04 7.259695828246655047e-01 2.727669428580956190e-07 -2.727156467920673428e-07 -8.033644670131484878e-13 8.030877600842808020e-13
.0156250	6.972507607964875025e-04 7.259695860216186514e-01 5.455314165425484685e-07 -5.453960354099490342e-07 -3.213433314662925704e-12 3.212326859284664253e-12
.0234375	6.972454333682632415e-04 7.259695913492519859e-01 8.182909175256978118e-07 -8.180408711759261703e-07 -7.230132883347767452e-12 7.227644659079099210e-12
.0312500	6.972379750369383069e-04 7.259695988076664275e-01 1.091042904000637823e-06 -1.090690486160213103e-06 -1.285334041500885180e-11 1.284891564359029422e-11
.0390625	6.972283858709351799e-04 7.259696083968346647e-01 1.363784883642669181e-06 -1.363333640666336668e-06 -2.008288404616652118e-11 2.007597055272318404e-11
.0468750	6.972166659581902461e-04 7.259696201166856433e-01 1.636514357486817797e-06 -1.635966138669037309e-06 -2.891854282336646379e-11 2.890858726147143498e-11
.0546875	6.972028154061669144e-04 7.259696339671211085e-01 1.909228826102953500e-06 -1.908584492493086146e-06 -3.936004670950801281e-11 3.934649452157280016e-11
.0625000	6.971868343418588694e-04 7.259696499480200460e-01 2.181925789663550869e-06 -2.181185874177603089e-06 -5.140707657946597069e-11 5.138937919548383945e-11
.0703125	6.971687229117890959e-04 7.259696680592393481e-01 2.454602748383791885e-06 -2.453767684776944569e-06 -6.505926425517386572e-11 6.503686563027106469e-11
.0781250	6.971484812820078186e-04 7.259696883006148127e-01 2.727257202796983986e-06 -2.726327288176780796e-06 -8.031619249217824104e-11 8.028853959880056073e-11
.0859375	6.971261096380921771e-04 7.259697106719628090e-01 2.999886653823928469e-06 -2.998862025304928884e-06 -9.717739499919076800e-11 9.714394524408366293e-11
.0937500	6.971016081851424311e-04 7.259697351730795001e-01 3.272488602526366557e-06 -3.271369474851443178e-06 -1.156423564845654439e-10 1.156025371346051149e-10
.1015625	6.970749771477790331e-04 7.259697618037407318e-01 3.545060550706328908e-06 -3.543846913795284831e-06 -1.357105126313498166e-10 1.356637651663458099e-10
.1093750	6.970462167701395925e-04 7.259697905637035875e-01 3.817600000354276280e-06 -3.816291897868648310e-06 -1.573812500675610764e-10 1.573270578128461818e-10
.1171875	6.970153273158754062e-04 7.259698214527050553e-01 4.090104453743359480e-06 -4.088702138032809237e-06 -1.806539065711228575e-10 1.805916909525794355e-10
.1250000	6.969823090681467968e-04 7.259698544704622503e-01 4.362571414332877405e-06 -4.361074731989432292e-06 -2.055277709141535669e-10 2.054569454268643527e-10
.1328125	6.969471623296187753e-04 7.259698896166728588e-01 4.634998385592389489e-06 -4.633407365010002513e-06 -2.320020828461224541e-10 2.319221408292327248e-10
.1406250	6.969098874224576804e-04 7.259699268910151382e-01 4.907382871625825243e-06 -4.905697675359948800e-06 -2.600760333096183297e-10 2.599864611662896092e-10
.1484375	6.968704846883247818e-04 7.259699662931476949e-01 5.179722377372698629e-06 -5.177943119295504637e-06 -2.897487644131622840e-10 2.896489738176906517e-10
.1562500	6.968289544883714010e-04 7.259700078227094844e-01 5.452014408452534363e-06 -5.450141153072903509e-06 -3.210193693538394683e-10 3.209087857106154545e-10
.1640625	6.967852972032340325e-04 7.259700514793195891e-01 5.724256471260853693e-06 -5.722289181568742678e-06 -3.538868924900530157e-10 3.537649347888057328e-10
.1718750	6.967395132330285977e-04 7.259700972625787729e-01 5.996446073032744216e-06 -5.994384531499876121e-06 -3.883503294646230957e-10 3.882164017081464416e-10
.1796875	6.966916029973442646e-04 7.259701451720677046e-01 6.268580721474583509e-06 -6.266424878300519328e-06 -4.244086268675280592e-10 4.242623232974714356e-10
.1875000	6.966415669352342323e-04 7.259701952073462916e-01 6.540657924735231538e-06 -6.538408308429544818e-06 -4.620606828993604684e-10 4.619015211230542006e-10
.1953125	6.965894055052143218e-04 7.259702473679567891e-01 6.812675193039764089e-06 -6.810331663241618710e-06 -5.013053472542417494e-10 5.011325685280097430e-10
.2031250	6.965351191852530007e-04 7.259703016534221343e-01 7.084630036938337180e-06 -7.082192410471904850e-06 -5.421414204804867487e-10 5.419544574747496183e-10
.2109375	6.964787084727621681e-04 7.259703580632440589e-01 7.356519967597069189e-06 -7.353988343615112766e-06 -5.845676546546516556e-10 5.843659797616600040e-10
.2187500	6.964201738845929258e-04 7.259704165969057543e-01 7.628342497775989521e-06 -7.625716648369647652e-06 -6.285827533478363705e-10 6.283659065491764524e-10
.2265625	6.963595159570265796e-04 7.259704772538715378e-01 7.900095140460497634e-06 -7.897375347245671334e-06 -6.741853715110595024e-10 6.739529301175385988e-10
.2343750	6.962967352457656404e-04 7.259705400335849657e-01 8.171775410300506751e-06 -8.168961835282458165e-06 -7.213741160391473924e-10 7.211253045955932009e-10
.2421875	6.962318323259262349e-04 7.259706049354711643e-01 8.443380823317222223e-06 -8.440473248440321036e-06 -7.701475449196703152e-10 7.698816934979845940e-10
.2500000	6.961648077920299738e-04 7.259706719589366086e-01 8.714908896280896733e-06 -8.711907085607981346e-06 -8.205041675052145616e-10 8.202209874000313881e-10
.2578125	6.960956622579928931e-04 7.259707411033671232e-01 8.986357146519362730e-06 -8.983261560052308871e-06 -8.724424452227941414e-10 8.721415886378929551e-10
.2656250	6.960243963571159133e-04 7.259708123681278824e-01 9.257723093506578345e-06 -9.254533890266924628e-06 -9.259607917905835815e-10 9.256411215595056800e-10
.2734375	6.959510107420789843e-04 7.259708857525674075e-01 9.529004258505342122e-06 -9.525720709906557095e-06 -9.810575714873901163e-10 9.807185927788500154e-10
.2812500	6.958755060849279670e-04 7.259709612560143466e-01 9.800198162267173354e-06 -9.796820626320363129e-06 -1.037731100325232561e-09 1.037372916389385667e-09
.2890625	6.957978830770632488e-04 7.259710388777762535e-01 1.007130232784219481e-05 -1.006783113129180956e-05 -1.095979647861109114e-09 1.095601125399567080e-09
.2968750	6.957181424292326966e-04 7.259711186171425856e-01 1.034231428044537436e-05 -1.033874893390332268e-05 -1.155801433948001377e-09 1.155402076745899928e-09
.3046875	6.956362848715185376e-04 7.259712004733841484e-01 1.061323154525975182e-05 -1.060957231137099965e-05 -1.217194630588675862e-09 1.216774231973861341e-09
.3125000	6.955523111533257587e-04 7.259712844457504310e-01 1.088405164966804891e-05 -1.088029862320691619e-05 -1.280157362918719074e-09 1.279714910303165079e-09
.3203125	6.954662220433723485e-04 7.259713705334724931e-01 1.115477212277781236e-05 -1.115092506931981637e-05 -1.344687706748821579e-09 1.344222862033833080e-09
.3281250	6.953780183296773710e-04 7.259714587357634086e-01 1.142539049460437786e-05 -1.142144950278001382e-05 -1.410783690945610811e-09 1.410295862417846597e-09
.3359375	6.952877008195483891e-04 7.259715490518159342e-01 1.169590429715860092e-05 -1.169186924757233568e-05 -1.478443296006921594e-09 1.477932083905997150e-09
.3437500	6.951952703395675864e-04 7.259716414808027318e-01 1.196631106341766273e-05 -1.196218231910234564e-05 -1.547664455259547462e-09 1.547129443752076782e-09
.3515625	6.951007277355817932e-04 7.259717360218775895e-01 1.223660832898226473e-05 -1.223238574510639521e-05 -1.618445054715895229e-09 1.617884984880662423e-09
.3593750	6.950040738726887164e-04 7.259718326741761985e-01 1.250679363074388998e-05 -1.250247690203889618e-05 -1.690782931305022432e-09 1.690197597800671172e-09
.3671875	6.949053096352241464e-04 7.259719314368148213e-01 1.277686450662725099e-05 -1.277245384793807467e-05 -1.764675874835469101e-09 1.764065586618127166e-09
.3750000	6.948044359267466696e-04 7.259720323088894034e-01 1.304681849672331821e-05 -1.304231426534434178e-05 -1.840121629802718947e-09 1.839484962415458906e-09
.3828125	6.947014536700242245e-04 7.259721352894757951e-01 1.331665314359219872e-05 -1.331205507541233540e-05 -1.917117891557469427e-09 1.916453625599826560e-09
.3906250	6.945963638070232595e-04 7.259722403776330824e-01 1.358636599117353507e-05 -1.358167369558679213e-05 -1.995662306429792797e-09 1.994971177616777752e-09
.3984375	6.944891672988914941e-04 7.259723475724009223e-01 1.385595458424599148e-05 -1.385116860094743776e-05 -2.075752476900546673e-09 2.075033509138224358e-09
.4062500	6.943798651259423067e-04 7.259724568727978777e-01 1.412541647108279030e-05 -1.412053655195549115e-05 -2.157385956928614616e-09 2.156638099524787554e-09
