#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	6.558823731685406444e-02 6.611486571552988023e-01 1.336897483756512310e-04 -1.331019909367023215e-04 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	6.558614728387228421e-02 6.611507242596538214e-01 5.348532351090335433e-04 -5.312027593847445809e-04 -1.575060805656278590e-09 1.566408345167058990e-09
.0156250	6.557987758452399341e-02 6.611569256114963045e-01 1.069579238365198212e-03 -1.062566981277129896e-03 -6.299227758624688486e-09 6.264666893790213572e-09
.0234375	6.556943063840599273e-02 6.611672720696673000e-01 1.604016155792211589e-03 -1.594553525151337636e-03 -1.416945750369989577e-08 1.409185612367759523e-08
.0312500	6.555480813934222439e-02 6.611817584229364719e-01 2.138169314590833512e-03 -2.125978898926197090e-03 -2.518068055599033500e-08 2.504310827463588072e-08
.0390625	6.553601284227995871e-02 6.612003812528857161e-01 2.671916563265363045e-03 -2.656935667678647205e-03 -3.932580475943878330e-08 3.911161071480028584e-08
.0468750	6.551304835450018349e-02 6.612231368393745035e-01 3.205151028059380607e-03 -3.187363875872655569e-03 -5.659572017623580196e-08 5.628861018719107527e-08
.0546875	6.548591910571270602e-02 6.612500208721958650e-01 3.737768402699965208e-03 -3.717179541473978211e-03 -7.697930540323663734e-08 7.656341794587590789e-08
.0625000	6.545463033779905238e-02 6.612810283637035047e-01 4.269665367084299334e-03 -4.246290965818450176e-03 -1.004634352955884332e-07 9.992341588948243760e-08
.0703125	6.541918809959479386e-02 6.613161536151411779e-01 4.800739162391446692e-03 -4.774603385280453034e-03 -1.270329900848466949e-07 1.263540637541066149e-07
.0781250	6.537959924326042227e-02 6.613553902018758368e-01 5.330887456498007229e-03 -5.302020695101335168e-03 -1.566708658741030619e-07 1.558389074608147788e-07
.0859375	6.533587142115564184e-02 6.613987309665815273e-01 5.860008304958715282e-03 -5.828446208389306826e-03 -1.893579865089354809e-07 1.883595885322879861e-07
.0937500	6.528801308280787752e-02 6.614461680162392332e-01 6.388000149456242102e-03 -6.353783035830822684e-03 -2.250733168123783160e-07 2.238958545639656090e-07
.1015625	6.523603347180063905e-02 6.614976927211793090e-01 6.914761832739551965e-03 -6.877934297237917917e-03 -2.637938771712073187e-07 2.624255708387504726e-07
.1093750	6.517994262249954263e-02 6.615532957153225091e-01 7.440192621356934641e-03 -7.400803252935832070e-03 -3.054947594621103879e-07 3.039247329831322927e-07
.1171875	6.511975135657491198e-02 6.616129668971908462e-01 7.964192232516721301e-03 -7.922293391114450245e-03 -3.501491443008998391e-07 3.483674807156693663e-07
.1250000	6.505547127929998952e-02 6.616766954314557969e-01 8.486660862943024367e-03 -8.442308492858320926e-03 -3.977283195871120387e-07 3.957261128945320026e-07
.1328125	6.498711477561312788e-02 6.617444697508906293e-01 9.007499218817287615e-03 -8.960752683922663941e-03 -4.482017003722774679e-07 4.459711032337607051e-07
.1406250	6.491469500593849418e-02 6.618162775586492463e-01 9.526608546552215590e-03 -9.477530475420648665e-03 -5.015368499992736013e-07 4.990711173384021133e-07
.1484375	6.483822590176253897e-02 6.618921058308220307e-01 1.004389066346642045e-02 -9.992546802791119759e-03 -5.576995024450066171e-07 5.549930311451899228e-07
.1562500	6.475772216096499501e-02 6.619719408192340504e-01 1.055924798862944124e-02 -1.050570706004569366e-02 -6.166535859947390166e-07 6.137019496978041902e-07
.1640625	6.467319924290601540e-02 6.620557680544747470e-01 1.107258357382967864e-02 -1.101691712984021257e-02 -6.783612480814405982e-07 6.751612274821356760e-07
.1718750	6.458467336326945141e-02 6.621435723491396752e-01 1.158380113406538674e-02 -1.152608341502378737e-02 -7.427828812956358397e-07 7.393324900536619425e-07
.1796875	6.449216148866480924e-02 6.622353378012737490e-01 1.209280507794311711e-02 -1.203311286776410742e-02 -8.098771506441239628e-07 8.061756560366548230e-07
