#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	6.840025608342583041e+01 0.000000000000000000e+00 7.865168409699972329e+00 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	6.813387925811272794e+01 0.000000000000000000e+00 4.342844756795805949e+01 -0.000000000000000000e+00 -1.041463823850753337e-04 0.000000000000000000e+00
.0156250	6.734095687918672013e+01 0.000000000000000000e+00 8.264372655880063689e+01 -0.000000000000000000e+00 -4.092781054332299707e-04 0.000000000000000000e+00
.0234375	6.618267025704760442e+01 0.000000000000000000e+00 1.104789337706060337e+02 -0.000000000000000000e+00 -8.961854234735592509e-04 0.000000000000000000e+00
.0312500	6.463658645852872553e+01 0.000000000000000000e+00 1.396467806429501479e+02 -0.000000000000000000e+00 -1.534517597865545915e-03 0.000000000000000000e+00
.0390625	6.271800838883142148e+01 0.000000000000000000e+00 1.672545354965293996e+02 -0.000000000000000000e+00 -2.284500579648704108e-03 0.000000000000000000e+00
.0468750	6.045403084910953595e+01 0.000000000000000000e+00 1.923431980561518628e+02 -0.000000000000000000e+00 -3.099219929142851479e-03 2.131628207280300852e-19
.0546875	5.787943867690579935e+01 0.000000000000000000e+00 2.143327271303694204e+02 -0.000000000000000000e+00 -3.927368118651603825e-03 -5.684341886080801952e-19
.0625000	5.503499679415971002e+01 0.000000000000000000e+00 2.328309001015288686e+02 -0.000000000000000000e+00 -4.716298233830067133e-03 6.394884621840902076e-19
.0703125	5.196630194933777602e+01 0.000000000000000000e+00 2.475845067708151248e+02 -2.131628207280300558e-14 -5.415239537263182371e-03 2.613486295534463704e-18
.0781250	4.872274238919769118e+01 3.330669073875469621e-16 2.584641268445509468e+02 -4.376386186207395003e-14 -5.978521841605520179e-03 2.138512762506011610e-18
.0859375	4.535639169293978767e+01 7.771561172376095783e-16 2.654575948172938524e+02 -6.645732767084011626e-14 -6.368631392168939281e-03 8.149148905978736321e-18
.0937500	4.192074220176651522e+01 1.332267629550187849e-15 2.686641609969771594e+02 -1.049751224172131900e-13 -6.558876874107681144e-03 5.222594261110966760e-18
.1015625	3.846922722391924054e+01 2.442490654175344389e-15 2.682860085076783321e+02 -1.733589769083399483e-13 -6.535389858516055944e-03 2.215169031746139966e-17
.1093750	3.505353355429465267e+01 4.107825191113079200e-15 2.646156291304163233e+02 -2.957430975389617627e-13 -6.298149556708306472e-03 3.553582551251409260e-17
.1171875	3.172177592714509231e+01 6.883382752675970551e-15 2.580188022111470900e+02 -4.809156772304525985e-13 -5.860753060873596758e-03 6.388627127534478905e-17
.1250000	2.851668193992774647e+01 1.143529715363911237e-14 2.489140234707917614e+02 -7.684131608153427421e-13 -5.248789554145028707e-03 1.127111748629359569e-16
.1328125	2.547399517769878585e+01 1.865174681370262988e-14 2.377500784195784718e+02 -1.234031285932188685e-12 -4.496922189318379968e-03 2.122144880432597678e-16
.1406250	2.262131814613007563e+01 3.019806626980425790e-14 2.249838160799836544e+02 -2.022903012178094582e-12 -3.645075125875578415e-03 3.829888158306002788e-16
.1484375	1.997756930093425609e+01 4.918287999089443474e-14 2.110599941722599624e+02 -3.300293515254693470e-12 -2.734356765864815863e-03 6.842661304367280705e-16
.1562500	1.755312713406246061e+01 7.993605777301127091e-14 1.963945294908174901e+02 -5.329598187484011739e-12 -1.803416971782942487e-03 1.195911946360254736e-15
.1640625	1.535060916483940652e+01 1.294520046712932526e-13 1.813618896161177929e+02 -8.578083530171927951e-12 -8.857947642602335189e-04 2.093801639374851718e-15
.1718750	1.336612504050899730e+01 2.089439732344544609e-13 1.662868833872043695e+02 -1.375275073698200678e-11 -8.516945581468463218e-06 3.632382516287814254e-15
.1796875	1.159078258041065013e+01 3.362865541589599161e-13 1.514407443378671303e+02 -2.199905334894325694e-11 8.081233617253770832e-04 6.287160701315679633e-15
.1875000	1.001222406234740703e+01 5.399014568752136256e-13 1.370410751127330116e+02 -3.511409413584499642e-11 1.549926208333413536e-03 1.079367060623282395e-14
.1953125	8.616016028270195193e+00 8.646416915780719137e-13 1.232549125809249801e+02 -5.584337013485869785e-11 2.207698981356473206e-03 1.839733910521947791e-14
