#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	6.590269587985116750e+00 7.120996313771416064e-03 1.781757060099570245e-01 -6.195862519526636886e-04 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	6.582137071650854487e+00 7.124905370191170206e-03 9.934202598669641393e-01 -2.174312721851322065e-03 -1.789990254735959424e-06 7.650006006641166063e-09
.0156250	6.557799687193043070e+00 7.136645419374310073e-03 1.782431595792358436e+00 -4.566979795585590120e-03 -7.117091288277388639e-06 3.061998253053724003e-08
.0234375	6.524102874981548617e+00 7.163463739668696206e-03 2.137172543032066496e+00 -7.427393756467877070e-03 -1.588119311480490142e-05 6.902769909284995945e-08
.0312500	6.479473579042641873e+00 7.203448754234176299e-03 2.625854632723876758e+00 -1.014475439436100801e-02 -2.792336002777074590e-05 1.230805069930066847e-07
.0390625	6.423781259771400798e+00 7.256179325178302442e-03 3.142259410465042535e+00 -1.283524739084396238e-02 -4.302867935922016036e-05 1.930737855381908247e-07
.0468750	6.357226716150150558e+00 7.321526812114398375e-03 3.661628727392471028e+00 -1.552711814215103348e-02 -6.093087430768337492e-05 2.793904262287969655e-07
.0546875	6.280174419175954981e+00 7.399480079821829648e-03 4.172948032194517154e+00 -1.823390974936674180e-02 -8.131841645457902950e-05 3.825011702996064586e-07
.0625000	6.193096547807997787e+00 7.490092863288277947e-03 4.669823521683570178e+00 -2.096437450289074036e-02 -1.038417014511688213e-04 5.029652644530301545e-07
.0703125	6.096546175498529507e+00 7.593463855004589647e-03 5.147907043870897148e+00 -2.372529687852194258e-02 -1.281210219490052239e-04 6.414313304160052510e-07
.0781250	5.991140229245128346e+00 7.709728283691985595e-03 5.603962987155499675e+00 -2.652253308992454789e-02 -1.537550751999353842e-04 7.986383982046566287e-07
.0859375	5.877546248849180976e+00 7.839054268667600134e-03 6.035473412915417057e+00 -2.936146179496302092e-02 -1.803297371363806498e-04 9.754170694410256942e-07
.0937500	5.756470808305048870e+00 7.981641381785031797e-03 6.440451315290873779e+00 -3.224720354030069513e-02 -2.074268333168370864e-04 1.172690781605523448e-06
.1015625	5.628648790442284167e+00 8.137720285985694524e-03 6.817343479109007731e+00 -3.518473745664738028e-02 -2.346326440403543039e-04 1.391477144674536202e-06
.1093750	5.494833232180622140e+00 8.307552892120373400e-03 7.164974524092267316e+00 -3.817896779870600527e-02 -2.615458975797770686e-04 1.632889320761175650e-06
.1171875	5.355785684757374376e+00 8.491432730899473036e-03 7.482510406100521649e+00 -4.123476406984454001e-02 -2.877850319062777874e-04 1.898137416791947508e-06
.1250000	5.212267134052040340e+00 8.689685362615495734e-03 7.769430942965831477e+00 -4.435698630641921048e-02 -3.129945405711396416e-04 2.188529860635064427e-06
.1328125	5.065029567430939572e+00 8.902668715901063123e-03 8.025506147244289679e+00 -4.755050153181887562e-02 -3.368502609533797565e-04 2.505474732649228957e-06
.1406250	4.914808283889213314e+00 9.130773288501092821e-03 8.250773736545916393e+00 -5.082019467151949188e-02 -3.590635106134130029e-04 2.850481027947230974e-06
.1484375	4.762315037183220134e+00 9.374422171385954350e-03 8.445516557406209657e+00 -5.417097582193228927e-02 -3.793840273412959737e-04 3.225159829869203953e-06
.1562500	4.608232084315616817e+00 9.634070878823508544e-03 8.610239414654772716e+00 -5.760778501619975844e-02 -3.976017178561790447e-04 3.631225382150239526e-06
.1640625	4.453207188533484739e+00 9.910206984293568055e-03 8.745645230171867013e+00 -6.113559521519180279e-02 -4.135472661976976770e-04 4.070496055577517244e-06
.1718750	4.297849599946448329e+00 1.020334957681401367e-02 8.852610702837658607e+00 -6.475941401886220472e-02 -4.270916932214720817e-04 4.544895216246083298e-06
.1796875	4.142727010245911501e+00 1.051404856503668217e-02 8.932161777992744689e+00 -6.848428446182455720e-02 -4.381449913264919352e-04 5.056452013581662701e-06
.1875000	3.988363452593647107e+00 1.084288386770182466e-02 8.985449299590626993e+00 -7.231528518346913570e-02 -4.466539822984311073e-04 5.607302121005930126e-06
.1953125	3.835238094929641850e+00 1.119046453885530479e-02 9.013725234865075819e+00 -7.625753022361698996e-02 -4.525995604169486680e-04 6.199688475326214335e-06
.2031250	3.683784855729951957e+00 1.155742788476621374e-02 9.018319844742634928e+00 -8.031616867567775708e-02 -4.559934878916408483e-04 6.835962078786070441e-06
.2109375	3.534392756267054292e+00 1.194443863683636309e-02 9.000620133853763249e+00 -8.449638442151985451e-02 -4.568749060065176019e-04 7.518582941823750716e-06
.2187500	3.387406912984657126e+00 1.235218825110562246e-02 8.962049859658051787e+00 -8.880339617053054080e-02 -4.553067143880014400e-04 8.250121263618757306e-06
.2265625	3.243130067683056783e+00 1.278139441038050883e-02 8.904051317360625717e+00 -9.324245802628457203e-02 -4.513719541655621527e-04 9.033258962146763259e-06
.2343750	3.101824551545056430e+00 1.323280080970490324e-02 8.828069051005680734e+00 -9.781886080545902640e-02 -4.451703101537816671e-04 9.870791683312150287e-06
.2421875	2.963714581138911175e+00 1.370717731001236395e-02 8.735535575559179478e+00 -1.025379343325340253e-01 -4.368148243922758485e-04 1.076563143043545432e-05
.2500000	2.828988789798867920e+00 1.420532054845213832e-02 8.627859133302644423e+00 -1.074050509298089956e-01 -4.264288899603588430e-04 1.172080996932547467e-05
.2578125	2.697802905517210803e+00 1.472805509716201833e-02 8.506413452825093202e+00 -1.124256303135333090e-01 -4.141435712728901131e-04 1.273948316989296500e-05
.2656250	2.570282495979721915e+00 1.527623526515187180e-02 8.372529431895872065e+00 -1.176051460918310365e-01 -4.000952761750528760e-04 1.382493644816623916e-05
