#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.116506477482813295e+02 0.000000000000000000e+00 1.845989602784529993e+01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.110827397719083933e+02 0.000000000000000000e+00 1.016843446635296857e+02 -0.000000000000000000e+00 -2.599019586129763695e-04 0.000000000000000000e+00
.0156250	1.093962890360487705e+02 0.000000000000000000e+00 1.960001478161070736e+02 -0.000000000000000000e+00 -1.014659087641045249e-03 0.000000000000000000e+00
.0234375	1.068888542672622606e+02 0.000000000000000000e+00 2.675412165591972666e+02 -0.000000000000000000e+00 -2.198002394558972415e-03 0.000000000000000000e+00
.0312500	1.035450489746232279e+02 0.000000000000000000e+00 3.382561598917824881e+02 -0.000000000000000000e+00 -3.707013990874496925e-03 0.000000000000000000e+00
.0390625	9.942384267672250076e+01 0.000000000000000000e+00 4.022581129422775916e+02 -0.000000000000000000e+00 -5.410785604957560162e-03 0.000000000000000000e+00
.0468750	9.461052510859744302e+01 0.000000000000000000e+00 4.573034382509645184e+02 -0.000000000000000000e+00 -7.161317013679790316e-03 2.131628207280300852e-19
.0546875	8.920762159568486993e+01 0.000000000000000000e+00 5.020351420821625652e+02 -0.000000000000000000e+00 -8.805760963086755461e-03 -5.684341886080801952e-19
.0625000	8.332991630788751536e+01 0.000000000000000000e+00 5.356635401652215478e+02 -0.000000000000000000e+00 -1.019894841437213664e-02 6.394884621840902076e-19
.0703125	7.710055090601737504e+01 0.000000000000000000e+00 5.578815691257502749e+02 -0.000000000000000000e+00 -1.121528891130188325e-02 -5.684341886080801952e-19
.0781250	7.064748005614016790e+01 0.000000000000000000e+00 5.688271929914824341e+02 -0.000000000000000000e+00 -1.175927678829159079e-02 5.684341886080801952e-19
.0859375	6.409995564199542173e+01 0.000000000000000000e+00 5.690499696293109082e+02 -0.000000000000000000e+00 -1.177388887339188978e-02 -5.684341886080801952e-19
.0937500	5.758476536854074368e+01 0.000000000000000000e+00 5.594668069798435681e+02 -0.000000000000000000e+00 -1.124605933959892286e-02 5.684341886080801952e-19
.1015625	5.122201060902037284e+01 0.000000000000000000e+00 5.412994866230606021e+02 -0.000000000000000000e+00 -1.020821569043683583e-02 4.263256414560601705e-19
.1093750	4.512039989334166989e+01 0.000000000000000000e+00 5.159916406947494352e+02 -0.000000000000000000e+00 -8.734812522847051897e-03 -1.705302565824240682e-18
.1171875	3.937237377130833949e+01 0.000000000000000000e+00 4.851096371496764732e+02 -0.000000000000000000e+00 -6.933291656311344961e-03 7.105427357601002199e-19
.1250000	3.404975462883268733e+01 0.000000000000000000e+00 4.502387460300102475e+02 -0.000000000000000000e+00 -4.930144750037544245e-03 5.684341886080801952e-19
.1328125	2.920082743094635447e+01 0.000000000000000000e+00 4.128890277826897091e+02 -0.000000000000000000e+00 -2.854441118594955133e-03 5.684341886080801952e-19
.1406250	2.484962304432997016e+01 0.000000000000000000e+00 3.744223686640939377e+02 -0.000000000000000000e+00 -8.224251135428494938e-04 5.684341886080801952e-19
.1484375	2.099768114451042322e+01 0.000000000000000000e+00 3.360052222261648467e+02 -0.000000000000000000e+00 1.073324617854596111e-03 -3.979039320256561463e-18
