#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	7.776994517007884168e-03 7.191337969540027020e-01 3.796919785192809371e-06 -3.666255700807141693e-06 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	7.776935190877731600e-03 7.191338542385343757e-01 1.518750535406399038e-05 -1.466502455826912410e-05 -4.473072492905405851e-11 4.319206428765599108e-11
.0156250	7.776757215202638289e-03 7.191340260921564864e-01 3.037431557417757944e-05 -2.932949267631101975e-05 -1.789160752801999397e-10 1.727616880420335172e-10
.0234375	7.776460598128515263e-03 7.191343125061476771e-01 4.555973557901493720e-05 -4.399256624765257584e-05 -4.025355788306317717e-10 3.886891649873547674e-10
.0312500	7.776045353231186147e-03 7.191347134674399566e-01 6.074307039360959948e-05 -5.865363264234702001e-05 -7.155551188714471263e-10 6.909416548223079814e-10
.0390625	7.775511499515355002e-03 7.191352289577397361e-01 7.592362520186801689e-05 -7.331202304072803599e-05 -1.117926939623870121e-09 1.079473188475011001e-09
.0468750	7.774859061413156962e-03 7.191358589535289392e-01 9.110070539980474891e-05 -8.796706882208127354e-05 -1.609589653970289421e-09 1.554224675430204928e-09
.0546875	7.774088068782293408e-03 7.191366034260668894e-01 1.062736166488331691e-04 -1.026181016285931946e-04 -2.190468253195909951e-09 2.115123913182248889e-09
.0625000	7.773198556903749071e-03 7.191374623413925304e-01 1.214416649277794136e-04 -1.172644534008782102e-04 -2.860474119066314401e-09 2.762085598705388480e-09
.0703125	7.772190566479117088e-03 7.191384356603269801e-01 1.366041565866171759e-04 -1.319054564277166719e-04 -3.619505038024995317e-09 3.495011342223852829e-09
.0781250	7.771064143627477369e-03 7.191395233384766383e-01 1.517603983988702332e-04 -1.465404434242145726e-04 -4.467445217434251715e-09 4.313789682698355049e-09
.0859375	7.769819339881894188e-03 7.191407253262361854e-01 1.669096976146255962e-04 -1.611687475531198288e-04 -5.404165304421227138e-09 5.218296105815590138e-09
.0937500	7.768456212185473157e-03 7.191420415687928003e-01 1.820513620139352362e-04 -1.757897024674548447e-04 -6.429522406241617336e-09 6.208393063751316486e-09
.1015625	7.766974822887031359e-03 7.191434720061300467e-01 1.971846999581083892e-04 -1.904026424028870679e-04 -7.543360113291264564e-09 7.283929997219385317e-09
.1093750	7.765375239736337261e-03 7.191450165730324251e-01 2.123090204435018613e-04 -2.050069022132561258e-04 -8.745508524363732952e-09 8.444743359379280788e-09
.1171875	7.763657535878951653e-03 7.191466751990907014e-01 2.274236331538115330e-04 -2.196018173776792537e-04 -1.003578427340556964e-08 9.690656641940798607e-09
.1250000	7.761821789850649640e-03 7.191484478087067922e-01 2.425278485121418193e-04 -2.341867240929218497e-04 -1.141399055936132042e-08 1.102148040362127678e-08
.1328125	7.759868085571437583e-03 7.191503343210994270e-01 2.576209777344629082e-04 -2.487609593444517486e-04 -1.287991717731307312e-08 1.243701229993732262e-08
.1406250	7.757796512339157173e-03 7.191523346503111425e-01 2.727023328810140868e-04 -2.633238609135446495e-04 -1.443334055232892318e-08 1.393703711582761256e-08
.1484375	7.755607164822683579e-03 7.191544487052136114e-01 2.877712269089283126e-04 -2.778747674128112521e-04 -1.607402377501898653e-08 1.552132679966566891e-08
.1562500	7.753300143054719408e-03 7.191566763895155256e-01 3.028269737240796289e-04 -2.924130184140949495e-04 -1.780171663963381495e-08 1.718964049996607562e-08
.1640625	7.750875552424174066e-03 7.191590176017694791e-01 3.178688882336522248e-04 -3.069379544129446913e-04 -1.961615568429220422e-08 1.894172460382926063e-08
.1718750	7.748333503668132852e-03 7.191614722353796285e-01 3.328962863980433617e-04 -3.214489169280909664e-04 -2.151706423256794102e-08 2.077731277682071359e-08
.1796875	7.745674112863440951e-03 7.191640401786100201e-01 3.479084852822111884e-04 -3.359452485511837949e-04 -2.350415243808967751e-08 2.269612600587223194e-08
.1875000	7.742897501417859811e-03 7.191667213145926940e-01 3.629048031079107339e-04 -3.504262929538981552e-04 -2.557711733103485110e-08 2.469787264416823157e-08
