#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	4.979484932643011348e+02 9.999999999999999957e-71 3.946276841897742997e+02 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	4.919047506825290270e+02 9.999999999999999957e-71 1.549777620481436315e+03 -0.000000000000000000e+00 -4.536263192060760105e-03 0.000000000000000000e+00
.0156250	4.742101001823617139e+02 9.999999999999999957e-71 2.988064607613716362e+03 -0.000000000000000000e+00 -1.705725405574794531e-02 0.000000000000000000e+00
.0234375	4.461223865944750173e+02 9.999999999999999957e-71 4.216624624532771122e+03 -0.000000000000000000e+00 -3.457132533190872270e-02 0.000000000000000000e+00
.0312500	4.095727296848630772e+02 9.999999999999999957e-71 5.161564412198851642e+03 -0.000000000000000000e+00 -5.292124693401714652e-02 0.000000000000000000e+00
.0390625	3.669461615952439502e+02 9.999999999999999957e-71 5.780474660334060900e+03 -0.000000000000000000e+00 -6.778283985005295609e-02 0.000000000000000000e+00
.0468750	3.208252923244362478e+02 9.999999999999999957e-71 6.064736846717329172e+03 -0.000000000000000000e+00 -7.565405352147555607e-02 2.131628207280300852e-19
.0546875	2.737351276547892098e+02 9.999999999999999957e-71 6.037008243616955951e+03 -0.000000000000000000e+00 -7.458343277433480967e-02 -5.684341886080801952e-19
.0625000	2.279234502639826871e+02 9.999999999999999957e-71 5.744779579257088699e+03 -0.000000000000000000e+00 -6.447727229896507706e-02 6.394884621840902076e-19
.0703125	1.852017064081202022e+02 9.999999999999999957e-71 5.251496772859978591e+03 -0.000000000000000000e+00 -4.695278420390056051e-02 -5.684341886080801952e-19
.0781250	1.468586328041116360e+02 9.999999999999999957e-71 4.626966478494715375e+03 -0.000000000000000000e+00 -2.482752424124628349e-02 5.684341886080801952e-19
.0859375	1.136458515147239865e+02 9.999999999999999957e-71 3.938622824993556605e+03 -0.000000000000000000e+00 -1.416961823357469445e-03 -5.684341886080801952e-19
.0937500	8.582393548057210353e+01 9.999999999999999957e-71 3.244807853556635109e+03 -0.000000000000000000e+00 2.016575500590306672e-02 5.684341886080801952e-19
.1015625	6.325067040442880284e+01 9.999999999999999957e-71 2.590650854514449293e+03 -0.000000000000000000e+00 3.754788778396861426e-02 4.263256414560601705e-19
.1093750	4.549093231748372546e+01 9.999999999999999957e-71 2.006569507663625018e+03 -0.000000000000000000e+00 4.938346853550784621e-02 -1.705302565824240682e-18
.1171875	3.192924363471752969e+01 9.999999999999999957e-71 1.508974673456646769e+03 -0.000000000000000000e+00 5.537782393023349403e-02 7.105427357601002199e-19
.1250000	2.187044101235625604e+01 9.999999999999999957e-71 1.102503672044907034e+03 -0.000000000000000000e+00 5.610455144158699864e-02 5.684341886080801952e-19
