#1_t 2_norm_self 3_norm_dist
0.000000 0.980060615728183037731469084974	-0.953744860221915735642994604859
0.000100 0.980060615728183037731469084974	-0.953744860222086487944181953935
0.000200 0.980060615728183037731469084974	-0.953744860222185297793373592867
0.000300 0.980060615728183148753771547490	-0.953744860222262680338189966278
0.000400 0.980060615728183148753771547490	-0.953744860222328183496642850514
0.000500 0.980060615728183148753771547490	-0.953744860222386137138528283685
0.000600 0.980060615728183259776074010006	-0.953744860222438317620685666043
0.000700 0.980060615728183148753771547490	-0.953744860222485058010022385133
0.000800 0.980060615728183259776074010006	-0.953744860222527579551865528629
0.000900 0.980060615728183037731469084974	-0.953744860222567436558449571748
0.001000 0.980060615728183148753771547490	-0.953744860222625501222637467436
0.002000 0.980060615728183037731469084974	-0.953744860222905166402540544368
0.003000 0.980060615728182926709166622459	-0.953744860223095347606658833683
0.004000 0.980060615728182815686864159943	-0.953744860223241897045909354347
0.005000 0.980060615728182926709166622459	-0.953744860223361246021056558675
0.006000 0.980060615728183037731469084974	-0.953744860223462720405507297983
0.007000 0.980060615728183037731469084974	-0.953744860223550205979847760318
0.008000 0.980060615728182815686864159943	-0.953744860223627921591571521276
0.009000 0.980060615728183037731469084974	-0.953744860223696533374493355950
0.010000 0.980060615728182926709166622459	-0.953744860223752044525724613777
0.020000 0.980060615728183148753771547490	-0.953744860224163271134045771760
0.030000 0.980060615728183259776074010006	-0.953744860224398194326056454884
0.040000 0.980060615728183481820678935037	-0.953744860224556623151670464722
0.050000 0.980060615728183814887586322584	-0.953744860224674639859188118862
0.060000 0.980060615728183814887586322584	-0.953744860224767232459441856918
0.070000 0.980060615728184036932191247615	-0.953744860224842505580511442531
0.080000 0.980060615728184147954493710131	-0.953744860224905455226007688907
0.090000 0.980060615728183925909888785100	-0.953744860224959634109609396546
0.100000 0.980060615728183814887586322584	-0.953744860225019142063729304937
0.200000 0.980060615728184147954493710131	-0.953744860225351431814999614289
0.300000 0.980060615728183481820678935037	-0.953744860225619772720051514625
0.400000 0.980060615728183259776074010006	-0.953744860225846702306284896622
0.500000 0.980060615728183370798376472521	-0.953744860226043544848550936877
0.600000 0.980060615728183592842981397553	-0.953744860226218515997231861547
0.700000 0.980060615728183481820678935037	-0.953744860226377277889753258933
0.800000 0.980060615728183703865283860068	-0.953744860226522939150584079471
0.900000 0.980060615728183814887586322584	-0.953744860226658164314983423537
1.000000 0.980060615728184036932191247615	-0.953744860228952662239976234559
2.000000 0.980060615728183481820678935037	-0.953744860229840396570466509729
3.000000 0.980060615728182704664561697427	-0.953744860230529734046456269425
4.000000 0.980060615728177819683253346739	-0.953744860231107383086168738373
5.000000 0.980060615728206685481893600809	-0.953744860231640623204896201059
6.000000 0.980060615728215900332997989608	-0.953744860232089264329147226817
7.000000 0.980060615728219564068979252625	-0.953744860232481395101444832108
8.000000 0.980060615728055584128242117004	-0.953744860232668800748001558532
9.000000 0.980060615722971206764668750111	-0.953744860227929813767389077839
10.000000 0.980060615642846411077471202589	-0.953744860148901141272403947369
