#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.071571662462821450e+03 0.000000000000000000e+00 1.428981765499469475e+03 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.049977939059996061e+03 0.000000000000000000e+00 5.543210209304073942e+03 -0.000000000000000000e+00 -1.615653731780836155e-02 0.000000000000000000e+00
.0156250	9.877727394561860592e+02 0.000000000000000000e+00 1.042970818591723219e+04 -0.000000000000000000e+00 -5.824595553862738778e-02 0.000000000000000000e+00
.0234375	8.921811194054611178e+02 0.000000000000000000e+00 1.413068412933816580e+04 -0.000000000000000000e+00 -1.097389223126426505e-01 0.000000000000000000e+00
.0312500	7.736952629468762552e+02 0.000000000000000000e+00 1.633894164144945535e+04 -0.000000000000000000e+00 -1.505849640684153723e-01 0.000000000000000000e+00
.0390625	6.441843613773868356e+02 0.000000000000000000e+00 1.700514599736672972e+04 -0.000000000000000000e+00 -1.648698345040634228e-01 0.000000000000000000e+00
.0468750	5.149637938831983774e+02 0.000000000000000000e+00 1.631304991398126731e+04 -0.000000000000000000e+00 -1.462542284147010652e-01 2.131628207280300852e-19
.0546875	3.952508974937150583e+02 0.000000000000000000e+00 1.460782952845902037e+04 -0.000000000000000000e+00 -9.923038257119227989e-02 -5.684341886080801952e-19
.0625000	2.912744189168889761e+02 0.000000000000000000e+00 1.230310854861828557e+04 -0.000000000000000000e+00 -3.626910937824872477e-02 6.394884621840902076e-19
.0703125	2.060956978005101803e+02 0.000000000000000000e+00 9.793579478537512841e+03 -0.000000000000000000e+00 2.736900124350523031e-02 -5.684341886080801952e-19
.0781250	1.400155771015070343e+02 0.000000000000000000e+00 7.392871535667765784e+03 -0.000000000000000000e+00 7.876755939285655372e-02 5.684341886080801952e-19
.0859375	9.133308664929431586e+01 0.000000000000000000e+00 5.304729044808454091e+03 -0.000000000000000000e+00 1.105823534250346130e-01 -5.684341886080801952e-19
.0937500	5.720412128842632882e+01 0.000000000000000000e+00 3.624555713650016969e+03 -0.000000000000000000e+00 1.217016593045503886e-01 5.684341886080801952e-19
.1015625	3.440141273890557727e+01 0.000000000000000000e+00 2.361387940575731591e+03 -0.000000000000000000e+00 1.158237446261336373e-01 4.263256414560601705e-19
.1093750	1.986444629393525929e+01 0.000000000000000000e+00 1.468421574391152035e+03 -0.000000000000000000e+00 9.905497916729436025e-02 -1.705302565824240682e-18
.1171875	1.101357102173254887e+01 0.000000000000000000e+00 8.722894516799285611e+02 -0.000000000000000000e+00 7.762321633332269766e-02 7.105427357601002199e-19
.1250000	5.863139145217157733e+00 0.000000000000000000e+00 4.953156624934028969e+02 -0.000000000000000000e+00 5.637822273654039679e-02 5.684341886080801952e-19
.1328125	2.996951648557091730e+00 0.000000000000000000e+00 2.689962518003892455e+02 -0.000000000000000000e+00 3.823363646199069710e-02 5.684341886080801952e-19
.1406250	1.470861964850107118e+00 0.000000000000000000e+00 1.397790167342989207e+02 -0.000000000000000000e+00 2.433389297988825667e-02 5.684341886080801952e-19
.1484375	6.931059576330549366e-01 0.000000000000000000e+00 6.952233088341935741e+01 -0.000000000000000000e+00 1.458872458716308808e-02 -3.979039320256561463e-18
.1562500	3.135835031946800910e-01 0.000000000000000000e+00 3.310705925048017662e+01 -0.000000000000000000e+00 8.261757602998066191e-03 5.115907697472721660e-18
.1640625	1.362134902864876040e-01 0.000000000000000000e+00 1.509854591144746649e+01 -0.000000000000000000e+00 4.429073498994304595e-03 -3.979039320256561463e-18
.1718750	5.680475626363602065e-02 0.000000000000000000e+00 6.595573857857583988e+00 -0.000000000000000000e+00 2.251534937644533545e-03 5.684341886080801952e-19
.1796875	2.274195648538421960e-02 0.000000000000000000e+00 2.760201225834674865e+00 -0.000000000000000000e+00 1.086838247556336668e-03 5.684341886080801952e-19
.1875000	8.740305612875042679e-03 0.000000000000000000e+00 1.106757245721582406e+00 -0.000000000000000000e+00 4.987192461231940979e-04 5.684341886080801952e-19
.1953125	3.224438911093167534e-03 0.000000000000000000e+00 4.252328602611759600e-01 -0.000000000000000000e+00 2.177461880832287590e-04 5.684341886080801952e-19
.2031250	1.141771335318156680e-03 0.000000000000000000e+00 1.565637236629537909e-01 -0.000000000000000000e+00 9.052685103168889324e-05 5.684341886080801952e-19
.2109375	3.880302636124304243e-04 0.000000000000000000e+00 5.524093515116672987e-02 -0.000000000000000000e+00 3.585994114228371779e-05 2.842170943040400976e-19
.2187500	1.265530428153109816e-04 0.000000000000000000e+00 1.867847461382511273e-02 -0.000000000000000000e+00 1.354169710274423550e-05 -8.242295734817162204e-18
.2265625	3.960535073392930377e-05 0.000000000000000000e+00 6.052391421683060713e-03 -0.000000000000000000e+00 4.877018617586700909e-06 9.947598300641404042e-18
.2343750	1.189207244171853499e-05 0.000000000000000000e+00 1.879328274127955566e-03 -0.000000000000000000e+00 1.675737010013217634e-06 -8.526512829121203024e-18
.2421875	3.425514659758113956e-06 0.000000000000000000e+00 5.591695330024923881e-04 -0.000000000000000000e+00 5.494775756792476438e-07 9.663381206337363222e-18
.2500000	9.464433865029660438e-07 0.000000000000000000e+00 1.594098770135376434e-04 -0.000000000000000000e+00 1.719819405712353984e-07 -8.526512829121203024e-18
.2578125	2.507802327740795025e-07 0.000000000000000000e+00 4.353855806055497015e-05 -0.000000000000000000e+00 5.138978281010029467e-08 9.663381206337363222e-18
.2656250	6.371536795184461188e-08 0.000000000000000000e+00 1.139112743826134935e-05 -0.000000000000000000e+00 1.466163469863934932e-08 -8.526512829121203024e-18
.2734375	1.551895309152530116e-08 0.000000000000000000e+00 2.854502904585055712e-06 -0.000000000000000000e+00 3.994204090009917008e-09 9.663381206337363222e-18
.2812500	3.622892337440851011e-09 0.000000000000000000e+00 6.850038531807443440e-07 -0.000000000000000000e+00 1.039039819611389500e-09 -9.094947017729283123e-18
.2890625	8.104433413120465235e-10 0.000000000000000000e+00 1.573881927847648963e-07 -0.000000000000000000e+00 2.580966353577519139e-10 9.663381206337363222e-18
.2968750	1.736821379597872298e-10 0.000000000000000000e+00 3.461591245472901782e-08 -0.000000000000000000e+00 6.121500964862420749e-11 -8.526512829121203024e-18
.3046875	3.564800046218417193e-11 0.000000000000000000e+00 7.286208679647988867e-09 -0.000000000000000000e+00 1.386180649725372188e-11 -8.526512829121203024e-18
.3125000	7.005445388452012149e-12 0.000000000000000000e+00 1.467360469854428633e-09 -0.000000000000000000e+00 2.996491823262334388e-12 2.785327524179593255e-17
.3203125	1.317711272023096302e-12 0.000000000000000000e+00 2.826557408252550195e-10 -0.000000000000000000e+00 6.182543125349628015e-13 -2.671640686457976927e-17
.3281250	2.371602589852265475e-13 0.000000000000000000e+00 5.206307460315066961e-11 -0.000000000000000000e+00 1.217295485994406929e-13 9.663381206337363222e-18
.3359375	4.082659977437561546e-14 0.000000000000000000e+00 9.166560779405334643e-12 -0.000000000000000000e+00 2.286642492494120188e-14 -8.526512829121203024e-18
.3437500	6.719783267663694465e-15 0.000000000000000000e+00 1.542158789190380004e-12 -0.000000000000000000e+00 4.096915477517686997e-15 2.785327524179593255e-17
.3515625	1.057053608192488362e-15 0.000000000000000000e+00 2.478143505965272442e-13 -0.000000000000000000e+00 6.999056025321548290e-16 -4.490630090003833244e-17
.3593750	1.588452217552140896e-16 0.000000000000000000e+00 3.802011438546187731e-14 -0.000000000000000000e+00 1.139715811053131896e-16 2.785327524179593255e-17
.3671875	2.279175450763933575e-17 0.000000000000000000e+00 5.566599828671449572e-15 -0.000000000000000000e+00 1.768324698468408236e-17 -8.526512829121203024e-18
.3750000	3.120917525735109092e-18 0.000000000000000000e+00 7.773911557945834852e-16 -0.000000000000000000e+00 2.613069326231864366e-18 -7.958078640513122925e-18
.3828125	4.076081412327147714e-19 0.000000000000000000e+00 1.034967076854404362e-16 -0.000000000000000000e+00 3.675850518296083060e-19 2.785327524179593255e-17
.3906250	5.074475643667892746e-20 0.000000000000000000e+00 1.312781781216384380e-17 -0.000000000000000000e+00 4.919868228308011625e-20 -9.094947017729283123e-18
