#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	9.677703917979326720e-01 1.506176839121181055e-01 1.177941390923820109e-02 -2.919502252646921647e-03 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	9.675863957857684383e-01 1.506633014201207432e-01 4.710421839694589607e-02 -1.168331700006497442e-02 -1.387201828351081387e-07 3.441542003487896621e-08
.0156250	9.670346176146029649e-01 1.508002368577887609e-01 9.415471328102142934e-02 -2.337038938884461459e-02 -5.543533519514909730e-07 1.376642334187039294e-07
.0234375	9.661156864830292568e-01 1.510284659421905484e-01 1.410978631998318633e-01 -3.505622506052219478e-02 -1.245319474133559395e-06 3.097538829847046310e-07
.0312500	9.648306497264936832e-01 1.513479935619191918e-01 1.878802506860637322e-01 -4.674280045372825043e-02 -2.208992167587098450e-06 5.506960509183045686e-07
.0390625	9.631809708282269566e-01 1.517588262736494498e-01 2.344487635039413931e-01 -5.843031312586788317e-02 -3.441709178742087744e-06 8.605055777930915237e-07
.0468750	9.611685266417416829e-01 1.522609720155350121e-01 2.807506951425651209e-01 -7.011891875804820984e-02 -4.938786982841990182e-06 1.239198954899763021e-06
.0546875	9.587956038324314534e-01 1.528544397397948451e-01 3.267338442220477646e-01 -8.180872085803514437e-02 -6.694539441836582521e-06 1.686792395535974429e-06
.0625000	9.560648945477121519e-01 1.535392389652960876e-01 3.723466125599870225e-01 -9.349976057764308734e-02 -8.702300434645452847e-06 2.203299492530561956e-06
.0703125	9.529794913271845136e-01 1.543153792511107181e-01 4.175381016401544798e-01 -1.051920066673872611e-01 -1.095445035695192508e-05 2.788728470886923348e-06
.0781250	9.495428812662854989e-01 1.551828695922146117e-01 4.622582072310308376e-01 -1.168853455908305250e-01 -1.344244637019315369e-05 3.443079045983524069e-06
.0859375	9.457589394488504775e-01 1.561417177386545951e-01 5.064577119080482248e-01 -1.285795718209783445e-01 -1.615685626266923756e-05 4.166338899376569672e-06
.0937500	9.416319216658967095e-01 1.571919294397012834e-01 5.500883752407688121e-01 -1.402743783410755896e-01 -1.908739576965160783e-05 4.958479785774017737e-06
.1015625	9.371664564397781394e-01 1.583335076146654696e-01 5.931030214134338507e-01 -1.519693473718959353e-01 -2.222296918381403276e-05 5.819453286333243186e-06
.1093750	9.323675363746377620e-01 1.595664514522358024e-01 6.354556240566680003e-01 -1.636639413472522619e-01 -2.555171307333324983e-05 6.749186224805755028e-06
.1171875	9.272405088557768016e-01 1.608907554403588014e-01 6.771013880774461313e-01 -1.753574941592432879e-01 -2.906104291110409824e-05 7.747575764796437884e-06
.1250000	9.217910661221940805e-01 1.623064083288543458e-01 7.179968282840079041e-01 -1.870492026948937792e-01 -3.273770240620905834e-05 8.814484207552057159e-06
.1328125	9.160252347380856142e-01 1.638133920271248600e-01 7.580998446136177904e-01 -1.987381186849006554e-01 -3.656781531748266005e-05 9.949733511366930347e-06
.1406250	9.099493644905589651e-01 1.654116804394766271e-01 7.973697937823374104e-01 -2.104231408851973129e-01 -4.053693951860595231e-05 1.115309955490758465e-05
.1484375	9.035701167421787972e-01 1.671012382407328634e-01 8.357675571875660125e-01 -2.221030076118921670e-01 -4.463012307492477478e-05 1.242430616825089468e-05
.1562500	8.968944522682363862e-01 1.688820195949796155e-01 8.732556049066033665e-01 -2.337762896493984499e-01 -4.883196208470650540e-05 1.376301895670280857e-05
.1640625	8.899296186098104577e-01 1.707539668204329786e-01 9.097980556478475478e-01 -2.454413835511672914e-01 -5.312666003062816046e-05 1.516883894335990245e-05
.1718750	8.826831369747509815e-01 1.727170090035728967e-01 9.453607325235111603e-01 -2.570965053522442645e-01 -5.749808838167354556e-05 1.664129605855549788e-05
.1796875	8.751627887196979927e-01 1.747710605658310268e-01 9.799112145271067220e-01 -2.687396847122016652e-01 -6.192984818228126920e-05 1.817984250398353962e-05
.1875000	8.673766014470948305e-01 1.769160197862672534e-01 1.013418883612722254e+00 -2.803687595063024673e-01 -6.640533236204107222e-05 1.978384602209388310e-05
.1953125	8.593328347519129107e-01 1.791517672838037756e-01 1.045854967286828696e+00 -2.919813708825387266e-01 -7.090778849823152822e-05 2.145258310070744564e-05
.2031250	8.510399656534408663e-01 1.814781644627235790e-01 1.077192576638339006e+00 -3.035749588012279787e-01 -7.542038176347262029e-05 2.318523214519217440e-05
.2109375	8.425066737480181311e-01 1.838950519252657845e-01 1.107406739746537028e+00 -3.151467580734106377e-01 -7.992625779116850518e-05 2.498086665042308186e-05
.2187500	8.337418261190076008e-01 1.864022478552758155e-01 1.136474430421230863e+00 -3.266937949134387509e-01 -8.440860519519675443e-05 2.683844840582850296e-05
.2265625	8.247544620405987681e-01 1.889995463769852391e-01 1.164374592244314499e+00 -3.382128840204998710e-01 -8.885071748260203555e-05 2.875682076805304762e-05
.2343750	8.155537775122205790e-01 1.916867158931087056e-01 1.191088157895919153e+00 -3.497006262031447932e-01 -9.323605410373092170e-05 3.073470203535521737e-05
.2421875	8.061491096604171958e-01 1.944634974065506672e-01 1.216598063763115078e+00 -3.611534065596089249e-01 -9.754830039081753492e-05 3.277067895925938598e-05
.2500000	7.965499210449957790e-01 1.973296028301123606e-01 1.240889259843513059e+00 -3.725673932263049437e-01 -1.017714261420911767e-04 3.486320042931823109e-05
.2578125	7.867657839061115155e-01 2.002847132886841353e-01 1.263948714969806986e+00 -3.839385367058483212e-01 -1.058897426181528188e-04 3.701057136634631182e-05
.2656250	7.768063643886895520e-01 2.033284774184881405e-01 1.285765417395538179e+00 -3.952625697846983144e-01 -1.098879577257463381e-04 3.921094686081119185e-05
.2734375	7.666814067802198984e-01 2.064605096680168783e-01 1.306330370795684814e+00 -4.065350080498717489e-01 -1.137512291757008257e-04 4.146232659252945251e-05
