#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	5.783970839675252051e+01 0.000000000000000000e+00 1.079546831834659315e+01 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	5.767183087364927729e+01 0.000000000000000000e+00 4.299387930055900142e+01 -0.000000000000000000e+00 -1.264428642487291888e-04 0.000000000000000000e+00
.0156250	5.717111619967461422e+01 0.000000000000000000e+00 8.524120594673331652e+01 -0.000000000000000000e+00 -4.984528419503022603e-04 0.000000000000000000e+00
.0234375	5.634623404503677335e+01 0.000000000000000000e+00 1.260169805103737417e+02 -0.000000000000000000e+00 -1.094518032895091435e-03 0.000000000000000000e+00
.0312500	5.521135596575744842e+01 0.000000000000000000e+00 1.646384718887074996e+02 -0.000000000000000000e+00 -1.880234368046667520e-03 0.000000000000000000e+00
.0390625	5.378575044205035738e+01 0.000000000000000000e+00 2.004842043374019340e+02 -0.000000000000000000e+00 -2.810374172907581947e-03 0.000000000000000000e+00
.0468750	5.209323876647311380e+01 0.000000000000000000e+00 2.330105245625918542e+02 -0.000000000000000000e+00 -3.831580522476170196e-03 2.131628207280300852e-19
.0546875	5.016153328352003626e+01 0.000000000000000000e+00 2.617651187803257926e+02 -0.000000000000000000e+00 -4.885504888530990686e-03 -5.684341886080801952e-19
.0625000	4.802148365350621617e+01 0.000000000000000000e+00 2.863970212196895773e+02 -0.000000000000000000e+00 -5.912178853335854807e-03 6.394884621840902076e-19
.0703125	4.570625974321916374e+01 0.000000000000000000e+00 3.066628260058787419e+02 -0.000000000000000000e+00 -6.853399848759218760e-03 -5.684341886080801952e-19
.0781250	4.325050128487448120e+01 0.000000000000000000e+00 3.224289964161521311e+02 -0.000000000000000000e+00 -7.655916402780594925e-03 5.684341886080801952e-19
.0859375	4.068946456245753041e+01 0.000000000000000000e+00 3.336703462275077072e+02 -0.000000000000000000e+00 -8.274219294352234619e-03 -5.684341886080801952e-19
.0937500	3.805819513105324603e+01 0.000000000000000000e+00 3.404649371244395297e+02 -0.000000000000000000e+00 -8.672779149153448525e-03 5.684341886080801952e-19
.1015625	3.539075307583087948e+01 0.000000000000000000e+00 3.429857849043914939e+02 -0.000000000000000000e+00 -8.827615166467132207e-03 4.263256414560601705e-19
.1093750	3.271951376244992105e+01 0.000000000000000000e+00 3.414898882004208645e+02 -0.000000000000000000e+00 -8.727129983658861098e-03 -1.705302565824240682e-18
.1171875	3.007456265827680042e+01 0.000000000000000000e+00 3.363051814298078170e+02 -0.000000000000000000e+00 -8.372197981118097848e-03 7.105427357601002199e-19
.1250000	2.748319788402815789e+01 0.000000000000000000e+00 3.278160658012827753e+02 -0.000000000000000000e+00 -7.775544497717028734e-03 5.684341886080801952e-19
.1328125	2.496954897145284136e+01 0.000000000000000000e+00 3.164481879799268427e+02 -0.000000000000000000e+00 -6.960497776816255804e-03 5.684341886080801952e-19
.1406250	2.255431513250911024e+01 0.000000000000000000e+00 3.026531171793394606e+02 -0.000000000000000000e+00 -5.959231020791985918e-03 5.684341886080801952e-19
.1484375	2.025462144559578448e+01 0.000000000000000000e+00 2.868935217605203434e+02 -0.000000000000000000e+00 -4.810636643480611756e-03 -3.979039320256561463e-18
.1562500	1.808398695560880753e+01 0.000000000000000000e+00 2.696293711736054775e+02 -7.105427357601001859e-15 -3.557987648937305670e-03 9.379164112033323943e-18
.1640625	1.605239494178440651e+01 1.110223024625156540e-16 2.513055946809662373e+02 -2.842170943040400743e-14 -2.246542040903545985e-03 1.278976924368180454e-17
.1718750	1.416645265284174648e+01 6.661338147750939243e-16 2.323415217201884388e+02 -7.105427357601001859e-14 -9.212362370617484600e-04 2.899014361901208967e-17
.1796875	1.242962571029651997e+01 1.332267629550187849e-15 2.131223170367168223e+02 -1.207922650792170316e-13 3.754056358117077415e-04 3.126388037344441006e-17
.1875000	1.084253115186792904e+01 2.664535259100375697e-15 1.939925134668931150e+02 -2.273736754432320595e-13 1.605045655707231390e-03 9.833911462919787714e-17
.1953125	9.403272692717747461e+00 5.107025913275720086e-15 1.752516423152118250e+02 -4.050093593832571059e-13 2.734918540838516578e-03 1.429611984349321749e-16
.2031250	8.107802146515695085e+00 9.214851104388799286e-15 1.571518703886389972e+02 -6.963318810448981822e-13 3.738791727503958540e-03 2.987121661135461251e-16
.2109375	6.950291962582026528e+00 1.676436767183986376e-14 1.398974773971610261e+02 -1.257660642295377329e-12 4.597491104124324171e-03 5.840661287948024179e-16
