#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	2.575690061115929255e-02 7.018623899872603600e-01 2.794081716461782605e-05 -2.671234449991288784e-05 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	2.575646404801466491e-02 7.018628073561410385e-01 1.117604271849703679e-04 -1.068494733047486989e-04 -3.291588388332211946e-10 3.146977689072461257e-10
.0156250	2.575515440297712622e-02 7.018640594642722164e-01 2.235094889526667572e-04 -2.136900241040962101e-04 -1.316523776546674389e-09 1.258685211376065083e-09
.0234375	2.575297180922810417e-02 7.018661461707560445e-01 3.352358218100537357e-04 -3.205080796249148989e-04 -2.961760116503287142e-09 2.831644772030017758e-09
.0312500	2.574991648871156891e-02 7.018690672650153006e-01 4.469280661190122572e-04 -4.272937924056918746e-04 -5.264310163339836312e-09 5.033047316452821397e-09
.0390625	2.574598875209642423e-02 7.018728224522912118e-01 5.585748680165814051e-04 -5.340363899648536972e-04 -8.223393421451508009e-09 7.862152318010018288e-09
.0468750	2.574118899872383792e-02 7.018774113536931925e-01 6.701648813407512506e-04 -6.407251070967845408e-04 -1.183800687274416761e-08 1.131800811918104465e-08
.0546875	2.573551771653960485e-02 7.018828335062625712e-01 7.816867695533691318e-04 -7.473491876410776058e-04 -1.610692533364988028e-08 1.539945226744832336e-08
.0625000	2.572897548201143192e-02 7.018890883630504174e-01 8.931292076566066385e-04 -8.538978863015245224e-04 -2.102870189102379516e-08 2.010511192582775970e-08
.0703125	2.572156296003133211e-02 7.018961752932090237e-01 1.004480884111869088e-03 -9.603604704508938994e-04 -2.660166841688127640e-08 2.543340435663843463e-08
.0781250	2.571328090380293682e-02 7.019040935820985982e-01 1.115730502752043662e-03 -1.066726221907288163e-03 -3.282393616196532833e-08 3.138253748110386655e-08
.0859375	2.570413015471401455e-02 7.019128424314067249e-01 1.226866784692637324e-03 -1.172984438781554672e-03 -3.969339642775793550e-08 3.795051051041831794e-08
.0937500	2.569411164219394250e-02 7.019224209592825892e-01 1.337878470237807704e-03 -1.279124437225220845e-03 -4.720772131606488025e-08 4.513511465203291000e-08
.1015625	2.568322638355640536e-02 7.019328282004850816e-01 1.448754320778844473e-03 -1.385135553242378137e-03 -5.536436455671367732e-08 5.293393388929424453e-08
.1093750	2.567147548382724478e-02 7.019440631065448910e-01 1.559483120693760938e-03 -1.491007144451828026e-03 -6.416056241389967243e-08 6.134434583207060395e-08
.1171875	2.565886013555744583e-02 7.019561245459403631e-01 1.670053679236005451e-03 -1.596728591906071415e-03 -7.359333466677498882e-08 7.036352264262468709e-08
.1250000	2.564538161862149265e-02 7.019690113042872381e-01 1.780454832420952371e-03 -1.702289301825032908e-03 -8.365948567078619020e-08 7.998843203117723804e-08
.1328125	2.563104130000089936e-02 7.019827220845424876e-01 1.890675444902401026e-03 -1.807678707393733930e-03 -9.435560548986644156e-08 9.021583832601543747e-08
.1406250	2.561584063355319338e-02 7.019972555072214737e-01 2.000704411845743991e-03 -1.912886270503122432e-03 -1.056780711123028785e-07 1.010423036113028440e-07
.1484375	2.559978115976623697e-02 7.020126101106298755e-01 2.110530660794029956e-03 -2.017901483519324302e-03 -1.176230477318895968e-07 1.124641889401090179e-07
.1562500	2.558286450549802915e-02 7.020287843511073822e-01 2.220143153519815726e-03 -2.122713871024473065e-03 -1.301864901132621248e-07 1.244776556141058521e-07
.1640625	2.556509238370207118e-02 7.020457766032874858e-01 2.329530887879904810e-03 -2.227312991543328735e-03 -1.433641440270339089e-07 1.370786665367251920e-07
.1718750	2.554646659313823676e-02 7.020635851603682642e-01 2.438682899653210612e-03 -2.331688439326740081e-03 -1.571515477565643768e-07 1.502629876291372746e-07
.1796875	2.552698901806939313e-02 7.020822082343992632e-01 2.547588264370848066e-03 -2.435829846021420053e-03 -1.715440336827889223e-07 1.640261893291583664e-07
.1875000	2.550666162794367614e-02 7.021016439565794798e-01 2.656236099140008022e-03 -2.539726882389459206e-03 -1.865367299384157529e-07 1.783636481348072145e-07
.1953125	2.548548647706263062e-02 7.021218903775701126e-01 2.764615564453842822e-03 -2.643369260042049973e-03 -2.021245621336209738e-07 1.932705482455166146e-07
.2031250	2.546346570423518516e-02 7.021429454678201898e-01 2.872715865996244844e-03 -2.746746733130578377e-03 -2.183022551554181482e-07 2.087418832404530692e-07
.2109375	2.544060153241761713e-02 7.021648071179058537e-01 2.980526256431970111e-03 -2.849849100023504889e-03 -2.350643350330905504e-07 2.247724578451482322e-07
.2187500	2.541689626833955329e-02 7.021874731388815238e-01 3.088036037185659666e-03 -2.952666204990350707e-03 -2.524051308783193113e-07 2.413568897524776299e-07
.2265625	2.539235230211610989e-02 7.022109412626458269e-01 3.195234560211757113e-03 -3.055187939835946054e-03 -2.703187768890380604e-07 2.584896115143387333e-07
.2343750	2.536697210684629722e-02 7.022352091423189613e-01 3.302111229751325538e-03 -3.157404245605732740e-03 -2.887992144265183579e-07 2.761648724852073098e-07
.2421875	2.534075823819765400e-02 7.022602743526341618e-01 3.408655504075319698e-03 -3.259305114205801601e-03 -3.078401941503372818e-07 2.943767408550179792e-07
.2500000	2.531371333397743756e-02 7.022861343903410436e-01 3.514856897218088250e-03 -3.360880590022929937e-03 -3.274352782392320642e-07 3.131191057116567236e-07
.2578125	2.528584011369018961e-02 7.023127866746224912e-01 3.620704980695554909e-03 -3.462120771558829802e-03 -3.475778426482989536e-07 3.323856791863555826e-07
.2656250	2.525714137808204515e-02 7.023402285475227602e-01 3.726189385209854876e-03 -3.563015813035974588e-03 -3.682610794559160529e-07 3.521699986614912824e-07
.2734375	2.522762000867170840e-02 7.023684572743901233e-01 3.831299802341092686e-03 -3.663555925975003902e-03 -3.894779992646846785e-07 3.724654290230589250e-07
.2812500	2.519727896726828287e-02 7.023974700443300634e-01 3.936025986225333284e-03 -3.763731380800550141e-03 -4.112214336643305437e-07 3.932651649811980500e-07
.2890625	2.516612129547606685e-02 7.024272639706714561e-01 4.040357755213941360e-03 -3.863532508397327092e-03 -4.334840377472559808e-07 4.145622334539744829e-07
.2968750	2.513415011418643555e-02 7.024578360914454089e-01 4.144284993525371164e-03 -3.962949701623585952e-03 -4.562582927175640494e-07 4.363494959982006219e-07
.3046875	2.510136862305684113e-02 7.024891833698753141e-01 4.247797652875640040e-03 -4.061973416924047342e-03 -4.795365085076675061e-07 4.586196513003493775e-07
.3125000	2.506778009997722573e-02 7.025213026948795569e-01 4.350885754090372259e-03 -4.160594175807830197e-03 -5.033108265040731222e-07 4.813652377287347994e-07
.3203125	2.503338790052379512e-02 7.025541908815854386e-01 4.453539388712624003e-03 -4.258802566347696938e-03 -5.275732222986739750e-07 5.045786359234228328e-07
.3281250	2.499819545740036147e-02 7.025878446718556436e-01 4.555748720580288236e-03 -4.356589244714825782e-03 -5.523155085070108630e-07 5.282520714605354965e-07
.3359375	2.496220627986745974e-02 7.026222607348253657e-01 4.657503987394839839e-03 -4.453944936599896209e-03 -5.775293376412804795e-07 5.523776175578732749e-07
.3437500	2.492542395315914053e-02 7.026574356674515354e-01 4.758795502272095135e-03 -4.550860438719439571e-03 -6.032062050422837367e-07 5.769471978189245141e-07
.3515625	2.488785213788790099e-02 7.026933659950733713e-01 4.859613655272765342e-03 -4.647326620244029982e-03 -6.293374518473805094e-07 6.019525890558875333e-07
.3593750	2.484949456943755935e-02 7.027300481719840342e-01 4.959948914918577145e-03 -4.743334424233580648e-03 -6.559142680316655052e-07 6.273854241373478537e-07
.3671875	2.481035505734446867e-02 7.027674785820130499e-01 5.059791829684412434e-03 -4.838874869037113058e-03 -6.829276954834817918e-07 6.532371948942029188e-07
.3750000	2.477043748466710438e-02 7.028056535391201676e-01 5.159133029480456045e-03 -4.933939049685420741e-03 -7.103686311428881432e-07 6.794992550619128812e-07
.3828125	2.472974580734411260e-02 7.028445692880002094e-01 5.257963227108808368e-03 -5.028518139305049317e-03 -7.382278301660960969e-07 7.061628232839290851e-07
.3906250	2.468828405354114158e-02 7.028842220046978007e-01 5.356273219701002120e-03 -5.122603390404378843e-03 -7.664959091650659402e-07 7.332189861565475422e-07
.3984375	2.464605632298642532e-02 7.029246077972332030e-01 5.454053890141530303e-03 -5.216186136273393004e-03 -7.951633494699984191e-07 7.606587012925559514e-07
.4062500	2.460306678629537586e-02 7.029657227062385827e-01 5.551296208465839044e-03 -5.309257792298183176e-03 -8.242205004505010560e-07 7.884728004617614519e-07
.4140625	2.455931968428431977e-02 7.030075627056046050e-01 5.647991233240334807e-03 -5.401809857254136205e-03 -8.536575828620841395e-07 8.166519927512184564e-07
.4218750	2.451481932727353485e-02 7.030501237031361317e-01 5.744130112924183962e-03 -5.493833914570700472e-03 -8.834646922572986700e-07 8.451868677644470004e-07
.4296875	2.446957009437971189e-02 7.030934015412197979e-01 5.839704087205133121e-03 -5.585321633617468251e-03 -9.136318024180312814e-07 8.740678988722550897e-07
.4375000	2.442357643279811918e-02 7.031373919974992504e-01 5.934704488320452498e-03 -5.676264770968941775e-03 -9.441487688366834470e-07 9.032854464823003830e-07
.4453125	2.437684285707440029e-02 7.031820907855615976e-01 6.029122742353454356e-03 -5.766655171576928751e-03 -9.750053322270347419e-07 9.328297613596348922e-07
.4531250	2.432937394836652209e-02 7.032274935556328543e-01 6.122950370507140860e-03 -5.856484770021097574e-03 -1.006191122080011347e-06 9.626909879716195627e-07
.4609375	2.428117435369666482e-02 7.032735958952823774e-01 6.216178990359644274e-03 -5.945745591695583698e-03 -1.037695660248445524e-06 9.928591678754018348e-07
.4687500	2.423224878519351574e-02 7.033203933301369615e-01 6.308800317095020205e-03 -6.034429753924541728e-03 -1.069508364566864671e-06 1.023324243116370435e-06
.4765625	2.418260201932496967e-02 7.033678813246034833e-01 6.400806164714722968e-03 -6.122529467148751792e-03 -1.101618552501833063e-06 1.054076059694040239e-06
.4843750	2.413223889612149328e-02 7.034160552826013157e-01 6.492188447220659242e-03 -6.210037036055382487e-03 -1.134015444819347440e-06 1.085104371017031790e-06
