#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	7.516159688288809093e+02 0.000000000000000000e+00 7.873240015773844789e+02 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	7.396342891480887829e+02 0.000000000000000000e+00 3.074009549121037708e+03 -0.000000000000000000e+00 -8.979793146541379528e-03 0.000000000000000000e+00
.0156250	7.048231353270549562e+02 0.000000000000000000e+00 5.858685455081074906e+03 -0.000000000000000000e+00 -3.310183935899477237e-02 0.000000000000000000e+00
.0234375	6.504080790020695986e+02 0.000000000000000000e+00 8.109585773552484170e+03 -0.000000000000000000e+00 -6.483271565725726160e-02 0.000000000000000000e+00
.0312500	5.812128779279761375e+02 0.000000000000000000e+00 9.662481707939408807e+03 -0.000000000000000000e+00 -9.433984092973671243e-02 0.000000000000000000e+00
.0390625	5.029551200758301093e+02 0.000000000000000000e+00 1.045189741671215961e+04 -0.000000000000000000e+00 -1.125321049014947616e-01 0.000000000000000000e+00
.0468750	4.214726597609597434e+02 0.000000000000000000e+00 1.051040321156634309e+04 -0.000000000000000000e+00 -1.136722892020795989e-01 2.131628207280300852e-19
.0546875	3.420246954020499288e+02 0.000000000000000000e+00 9.950784725973877357e+03 -0.000000000000000000e+00 -9.674256594914634744e-02 -5.684341886080801952e-19
.0625000	2.687789920044403402e+02 0.000000000000000000e+00 8.936972462554047524e+03 -0.000000000000000000e+00 -6.526066132708871481e-02 6.394884621840902076e-19
.0703125	2.045431984350730374e+02 0.000000000000000000e+00 7.651313605444798668e+03 -0.000000000000000000e+00 -2.580964842844300083e-02 -5.684341886080801952e-19
.0781250	1.507400956465192223e+02 0.000000000000000000e+00 6.265280048509386688e+03 -0.000000000000000000e+00 1.406656176917014944e-02 5.684341886080801952e-19
.0859375	1.075793041518567179e+02 0.000000000000000000e+00 4.918539065951571502e+03 -0.000000000000000000e+00 4.785696252054831568e-02 -5.684341886080801952e-19
.0937500	7.435103233345230933e+01 0.000000000000000000e+00 3.708391295725973578e+03 -0.000000000000000000e+00 7.140473660527542343e-02 5.684341886080801952e-19
.1015625	4.976289048875042198e+01 0.000000000000000000e+00 2.688860395613138735e+03 -0.000000000000000000e+00 8.332942490812937641e-02 4.263256414560601705e-19
.1093750	3.225420162350286546e+01 0.000000000000000000e+00 1.876872817384131849e+03 -0.000000000000000000e+00 8.465419861184907135e-02 -1.705302565824240682e-18
.1171875	2.024559605154119524e+01 0.000000000000000000e+00 1.262241775026866890e+03 -0.000000000000000000e+00 7.795309363352626031e-02 7.105427357601002199e-19
.1250000	1.230663947645127720e+01 0.000000000000000000e+00 8.184255473470850575e+02 -0.000000000000000000e+00 6.638334568538546698e-02 5.684341886080801952e-19
.1328125	7.244586313259867794e+00 0.000000000000000000e+00 5.118936906520265211e+02 -0.000000000000000000e+00 5.288828339263461353e-02 5.684341886080801952e-19
.1406250	4.130026705096379480e+00 0.000000000000000000e+00 3.089857786513647397e+02 -0.000000000000000000e+00 3.971449759822190395e-02 5.684341886080801952e-19
.1484375	2.280113790331827595e+00 0.000000000000000000e+00 1.800599710065471868e+02 -0.000000000000000000e+00 2.825069347931275648e-02 -3.979039320256561463e-18
.1562500	1.219054111720581979e+00 0.000000000000000000e+00 1.013332026337001395e+02 -0.000000000000000000e+00 1.910671308617739594e-02 5.115907697472721660e-18
.1640625	6.311748894728831383e-01 0.000000000000000000e+00 5.508800886472251079e+01 -0.000000000000000000e+00 1.231993574150965810e-02 -3.979039320256561463e-18
.1718750	3.164704133002594344e-01 0.000000000000000000e+00 2.893546132485709066e+01 -0.000000000000000000e+00 7.589528554459185929e-03 5.684341886080801952e-19
.1796875	1.536626841251760578e-01 0.000000000000000000e+00 1.468772065331488008e+01 -0.000000000000000000e+00 4.474368751152692399e-03 5.684341886080801952e-19
.1875000	7.225194474344413809e-02 0.000000000000000000e+00 7.206081600648030161e+00 -0.000000000000000000e+00 2.527817685497630359e-03 5.684341886080801952e-19
.1953125	3.289796199521290848e-02 0.000000000000000000e+00 3.417622149578743329e+00 -0.000000000000000000e+00 1.370052986561890200e-03 5.684341886080801952e-19
.2031250	1.450499983826916174e-02 0.000000000000000000e+00 1.567035659530837011e+00 -0.000000000000000000e+00 7.130264337025548401e-04 5.684341886080801952e-19
.2109375	6.192770984095444242e-03 0.000000000000000000e+00 6.947125662585834638e-01 -0.000000000000000000e+00 3.566031680763158190e-04 2.842170943040400976e-19
.2187500	2.560108325328875993e-03 0.000000000000000000e+00 2.978083084587792584e-01 -0.000000000000000000e+00 1.714979791826972202e-04 -8.242295734817162204e-18
.2265625	1.024762525925752192e-03 0.000000000000000000e+00 1.234527928869744995e-01 -0.000000000000000000e+00 7.935380566581548567e-05 9.947598300641404042e-18
.2343750	3.971578733979411343e-04 0.000000000000000000e+00 4.949008865955315667e-02 -0.000000000000000000e+00 3.534411453615611868e-05 -8.526512829121203024e-18
.2421875	1.490251079443959386e-04 0.000000000000000000e+00 1.918684624889475596e-02 -0.000000000000000000e+00 1.515944152495681555e-05 9.663381206337363222e-18
.2500000	5.413660178287715608e-05 0.000000000000000000e+00 7.193931452367551167e-03 -0.000000000000000000e+00 6.263499569104350927e-06 -8.526512829121203024e-18
.2578125	1.903856889302221498e-05 0.000000000000000000e+00 2.608616973053376389e-03 -0.000000000000000000e+00 2.493721438430389716e-06 9.663381206337363222e-18
.2656250	6.481316873254649236e-06 0.000000000000000000e+00 9.148176629247629964e-04 -0.000000000000000000e+00 9.569432142589307227e-07 -8.526512829121203024e-18
.2734375	2.135743035895877615e-06 0.000000000000000000e+00 3.102650859897226106e-04 -0.000000000000000000e+00 3.540179356987066949e-07 9.663381206337363222e-18
.2812500	6.811767164295828849e-07 0.000000000000000000e+00 1.017640794502329426e-04 -0.000000000000000000e+00 1.262826749903418976e-07 -9.094947017729283123e-18
.2890625	2.102620435601011493e-07 0.000000000000000000e+00 3.227778084106714155e-05 -0.000000000000000000e+00 4.344168818298118509e-08 9.663381206337363222e-18
.2968750	6.280790794310723161e-08 0.000000000000000000e+00 9.900109139986241642e-06 -0.000000000000000000e+00 1.441340825316897528e-08 -8.526512829121203024e-18
.3046875	1.815427409456030610e-08 0.000000000000000000e+00 2.936150603524016093e-06 -0.000000000000000000e+00 4.612804445173010083e-09 -8.526512829121203024e-18
.3125000	5.077031375010143940e-09 0.000000000000000000e+00 8.419549545434863189e-07 -0.000000000000000000e+00 1.424073743776824308e-09 2.785327524179593255e-17
.3203125	1.373595525842347499e-09 0.000000000000000000e+00 2.334194074965433410e-07 -0.000000000000000000e+00 4.241210223825124716e-10 -2.671640686457976927e-17
.3281250	3.594792526748205517e-10 0.000000000000000000e+00 6.255805379570263527e-08 -0.000000000000000000e+00 1.218564246636668677e-10 9.663381206337363222e-18
.3359375	9.099104900724433667e-11 0.000000000000000000e+00 1.620628106987693249e-08 -0.000000000000000000e+00 3.377620559822060425e-11 -8.526512829121203024e-18
.3437500	2.227271793745231116e-11 0.000000000000000000e+00 4.057776520381335462e-09 -0.000000000000000000e+00 9.031730634112113268e-12 2.785327524179593255e-17
.3515625	5.271485354655498028e-12 0.000000000000000000e+00 9.818455942287769128e-10 -0.000000000000000000e+00 2.329777038935922637e-12 -4.490630090003833244e-17
.3593750	1.206171618724569674e-12 0.000000000000000000e+00 2.295562387453208737e-10 -0.000000000000000000e+00 5.797202755620944040e-13 2.785327524179593255e-17
.3671875	2.667644407100750565e-13 0.000000000000000000e+00 5.185146852185319265e-11 -0.000000000000000000e+00 1.391402885781032717e-13 -8.526512829121203024e-18
.3750000	5.701788073763715901e-14 0.000000000000000000e+00 1.131328840497013656e-11 -0.000000000000000000e+00 3.220915212422605132e-14 -7.958078640513122925e-18
.3828125	1.177538227244195329e-14 0.000000000000000000e+00 2.383947436429907269e-12 -0.000000000000000000e+00 7.190376008658149799e-15 2.785327524179593255e-17
.3906250	2.349259561432731461e-15 0.000000000000000000e+00 4.850683292674280259e-13 -0.000000000000000000e+00 1.547804172651526438e-15 -9.094947017729283123e-18
.3984375	4.526731734624196112e-16 0.000000000000000000e+00 9.528401156377550334e-14 -0.000000000000000000e+00 3.212261905785824787e-16 -8.526512829121203024e-18
.4062500	8.422407172788896336e-17 0.000000000000000000e+00 1.806567832831210512e-14 -0.000000000000000000e+00 6.426388857615444315e-17 -7.958078640513122925e-18
.4140625	1.512792395618086140e-17 0.000000000000000000e+00 3.305258806666604947e-15 -0.000000000000000000e+00 1.239101391153554561e-17 2.785327524179593255e-17
.4218750	2.622416048630458225e-18 0.000000000000000000e+00 5.834004426020204157e-16 -0.000000000000000000e+00 2.302210740060491759e-18 -4.490630090003833244e-17
.4296875	4.386153476315302760e-19 0.000000000000000000e+00 9.931714415205125687e-17 -0.000000000000000000e+00 4.120861467796010198e-19 6.366462912410498340e-17
.4375000	7.076193072526185952e-20 0.000000000000000000e+00 1.630258859296876304e-17 -0.000000000000000000e+00 7.104498668314065283e-20 -4.547473508864641407e-17
.4453125	1.100817002538861711e-20 0.000000000000000000e+00 2.579494548145460263e-18 -0.000000000000000000e+00 1.179424693082524069e-20 -7.389644451905042826e-18
.4531250	1.650774996043044710e-21 0.000000000000000000e+00 3.932970998065722198e-19 -0.000000000000000000e+00 1.884854630560905906e-21 2.842170943040400803e-17
.4609375	2.385429352557716133e-22 0.000000000000000000e+00 5.776545443369456111e-20 -0.000000000000000000e+00 2.898851088571240194e-22 -9.094947017729283123e-18
.4687500	3.320394865468815550e-23 0.000000000000000000e+00 8.169964136101987130e-21 -0.000000000000000000e+00 4.289168571546797362e-23 -9.094947017729283123e-18
.4765625	4.450252770172584558e-24 0.000000000000000000e+00 1.112265807242105342e-21 -0.000000000000000000e+00 6.103323950903324119e-24 -7.958078640513122925e-18
.4843750	5.740712104105109330e-25 0.000000000000000000e+00 1.456977269941677059e-22 -0.000000000000000000e+00 8.349097901602107211e-25 6.366462912410498340e-17
.4921875	7.124139643770559897e-26 0.000000000000000000e+00 1.835512586383615773e-23 -0.000000000000000000e+00 1.097516898655832341e-25 -8.185452315956354657e-17
.5000000	8.500931564888592159e-27 0.000000000000000000e+00 2.222848726080843577e-24 -0.000000000000000000e+00 1.385743140714611945e-26 -6.821210263296962728e-18
.5078125	9.748304482050413859e-28 0.000000000000000000e+00 2.586292883872538352e-25 -0.000000000000000000e+00 1.679712809661931258e-27 6.480149750132114668e-17
.5156250	1.073633849391461265e-28 0.000000000000000000e+00 2.889374555365446465e-26 -0.000000000000000000e+00 1.953550951728522173e-28 -9.094947017729283123e-18
.5234375	1.134890357693705024e-29 0.000000000000000000e+00 3.097435388998455705e-27 -0.000000000000000000e+00 2.178609404142498318e-29 -9.094947017729283123e-18
.5312500	1.150514566980128718e-30 0.000000000000000000e+00 3.183843204701263325e-28 -0.000000000000000000e+00 2.328044808958578623e-30 -9.094947017729283123e-18
.5390625	1.117628061100181124e-31 0.000000000000000000e+00 3.135366874564383863e-29 -0.000000000000000000e+00 2.381829680708624980e-31 -7.958078640513122925e-18
.5468750	1.039307201961406913e-32 0.000000000000000000e+00 2.955273073097253797e-30 -0.000000000000000000e+00 2.330969898045578760e-32 6.366462912410498340e-17
.5546875	9.241551587907411363e-34 0.000000000000000000e+00 2.663200601342319228e-31 -0.000000000000000000e+00 2.179754657986585836e-33 -8.185452315956354657e-17
.5625000	7.847666411013450918e-35 0.000000000000000000e+00 2.291710329196547567e-32 -0.000000000000000000e+00 1.945315023247074685e-34 -7.958078640513122925e-18
.5703125	6.354580729356485109e-36 0.000000000000000000e+00 1.880328076278018533e-33 -0.000000000000000000e+00 1.654495688561339419e-35 6.366462912410498340e-17
.5781250	4.898272780233776664e-37 0.000000000000000000e+00 1.468577416458944076e-34 -0.000000000000000000e+00 1.338809818333107730e-36 -8.071765478234738329e-17
.5859375	3.587212469384580323e-38 0.000000000000000000e+00 1.089705964668544149e-35 -0.000000000000000000e+00 1.028778159011354653e-37 1.375610736431554117e-16
.5937500	2.490306093809446714e-39 0.000000000000000000e+00 7.664872056887538012e-37 -0.000000000000000000e+00 7.490640667691369401e-39 -8.185452315956354657e-17
.6015625	1.634605684306482974e-40 0.000000000000000000e+00 5.097714023861664892e-38 -0.000000000000000000e+00 5.154802377716041545e-40 -9.094947017729283123e-18
.6093750	1.011495530661845189e-41 0.000000000000000000e+00 3.196345483275513519e-39 -0.000000000000000000e+00 3.343040307401292393e-41 -8.071765478234738329e-17
.6171875	5.881057755861646568e-43 0.000000000000000000e+00 1.883188518822292898e-40 -0.000000000000000000e+00 2.036424045782044027e-42 1.375610736431554117e-16
.6250000	3.200650835256713207e-44 0.000000000000000000e+00 1.038600307499398341e-41 -0.000000000000000000e+00 1.160778105724891232e-43 -8.071765478234738329e-17
.6328125	1.623439890598086964e-45 0.000000000000000000e+00 5.338764670393337571e-43 -0.000000000000000000e+00 6.164683182255232613e-45 1.364242052659392484e-16
.6406250	7.636763363613455289e-47 0.000000000000000000e+00 2.545236279196413720e-44 -0.000000000000000000e+00 3.035371342713783846e-46 -1.557509676786139748e-16
.6484375	3.312883013379202060e-48 0.000000000000000000e+00 1.119061711538561905e-45 -0.000000000000000000e+00 1.377832592301103817e-47 6.480149750132114668e-17
.6562500	1.316733865608293824e-49 0.000000000000000000e+00 4.507996384628152642e-47 -0.000000000000000000e+00 5.728344100227797190e-49 -7.958078640513122925e-18
.6640625	4.758713361798270964e-51 0.000000000000000000e+00 1.651251868866417805e-48 -0.000000000000000000e+00 2.164737173559871614e-50 -9.094947017729283123e-18
.6718750	1.549856444834920895e-52 0.000000000000000000e+00 5.450611123641742457e-50 -0.000000000000000000e+00 7.369275902418694269e-52 -9.094947017729283123e-18
.6796875	4.500266065380409826e-54 0.000000000000000000e+00 1.603998349872019278e-51 -0.000000000000000000e+00 2.235685319549471972e-53 -7.958078640513122925e-18
.6875000	1.149785380843398474e-55 0.000000000000000000e+00 4.153041195507721782e-53 -1.421085471520200372e-14 5.965367431737813178e-55 2.796696207951754765e-16
.6953125	2.542431066111279453e-57 4.440892098500626162e-16 9.305573532663459108e-55 -1.136868377216160297e-13 1.376933145622491306e-56 1.280113792745396598e-15
.7031250	4.762277864576912901e-59 2.886579864025407005e-15 1.766046917664322504e-56 -6.536993168992921710e-13 2.690930437920637094e-58 7.441940397256985795e-15
.7109375	7.339659423481429288e-61 1.654232306691483245e-14 2.757358106019856274e-58 -3.431921413721283898e-12 4.324665517308881447e-60 3.822492544713896096e-14
.7187500	8.925833055708783207e-63 8.493206138382447534e-14 3.396389168135292183e-60 -1.711697450446081348e-11 5.481010368166907951e-62 1.920045633596601220e-13
.7265625	8.020026907881542812e-65 4.155564781171960931e-13 3.090294070890159157e-62 -8.135714324453147128e-11 5.129162573804000433e-64 9.127927569352324682e-13
