#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	3.564105873686798276e+01 5.013204457945233763e-15 4.812603683046745573e+00 -1.501313761845191773e-14 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	3.556612073807973928e+01 5.218048215738235740e-15 1.918970308922098411e+01 -6.475112912165893075e-14 -5.645873734295946947e-05 1.776356839400250550e-19
.0156250	3.534225079383467261e+01 5.884182030513329664e-15 3.813782915177489485e+01 -1.421085471520200372e-13 -2.234657652047053748e-04 9.947598300641403657e-19
.0234375	3.497226134647448959e+01 7.549516567451064475e-15 5.660786026343339472e+01 -2.415845301584340632e-13 -4.940177768998012427e-04 2.344791028008330986e-18
.0312500	3.446077438200139653e+01 9.880984919163893210e-15 7.437325576613602607e+01 -3.836930773104541004e-13 -8.567848457040237124e-04 5.684341886080801759e-18
.0390625	3.381412534091791144e+01 1.376676550535194110e-14 9.122207211926888704e+01 -6.039613253960851580e-13 -1.296605779905032852e-03 1.243449787580175351e-17
.0468750	3.304023252280205725e+01 1.965094753586527077e-14 1.069611631190082335e+02 -9.308109838457312435e-13 -1.795146640059361049e-03 2.536637566663557846e-17
.0546875	3.214843575604137982e+01 2.897682094271658571e-14 1.214198407362107446e+02 -1.442401753593003377e-12 -2.331689849388531369e-03 4.931166586175095898e-17
.0625000	3.114930892677827856e+01 4.340972026284362073e-14 1.344529008458330281e+02 -2.223998762929113582e-12 -2.884015290932534330e-03 9.414691248821328429e-17
.0703125	3.005445162397313297e+01 6.528111384795920458e-14 1.459429406453175488e+02 -3.431921413721283898e-12 -3.429330905089277796e-03 1.774935753928730421e-16
.0781250	2.887626563122988088e+01 9.925393840148899471e-14 1.558019198063468593e+02 -5.307754236127948388e-12 -3.945208757998411829e-03 3.284128524683183353e-16
.0859375	2.762772226774740858e+01 1.517674874662588991e-13 1.639719437527769514e+02 -8.206768598029157147e-12 -4.410483379052239014e-03 5.961453553027240727e-16
.0937500	2.632212664622878151e+01 2.329247905663578422e-13 1.704252737900319516e+02 -1.271160954274819233e-11 -4.806072254726928561e-03 1.072208988261991226e-15
.1015625	2.497288477918785077e+01 3.587130592563880782e-13 1.751635940457576908e+02 -1.968203378055477515e-11 -5.115683472898727331e-03 1.911217850647517458e-15
.1093750	2.359327913935875642e+01 5.531131108682529884e-13 1.782165883234963530e+02 -3.046096708203549497e-11 -5.326382280432408363e-03 3.352766952957609143e-15
