#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.496870212757442494e-03 7.252122742962341384e-01 2.436217913792670942e-07 -2.364609343885604176e-07 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.496866406182810385e-03 7.252122779909209171e-01 9.744834484765041438e-07 -9.458437588705237431e-07 -2.870087015896527827e-12 2.785739811675403211e-12
.0156250	1.496854986516998236e-03 7.252122890749812534e-01 1.948952028318906571e-06 -1.891675502463385783e-06 -1.148020209035260937e-11 1.114281771019687297e-11
.0234375	1.496835953934246661e-03 7.252123075482275194e-01 2.923390870976372291e-06 -2.837477204309379886e-06 -2.582990731012091770e-11 2.507080909250336769e-11
.0312500	1.496809308724954008e-03 7.252123334103781627e-01 3.897785108841755886e-06 -3.783235669629902986e-06 -4.591847284657335620e-11 4.456900631361060996e-11
.0390625	1.496775051295667902e-03 7.252123666610388319e-01 4.872119875418134960e-06 -4.728936467301991797e-06 -7.174487699365683678e-11 6.963641871970960274e-11
.0468750	1.496733182169073971e-03 7.252124072997028215e-01 5.846380305749021566e-06 -5.674565180413537746e-06 -1.033078062240289215e-10 1.002717727088819929e-10
.0546875	1.496683701983983700e-03 7.252124553257508488e-01 6.820551536751429111e-06 -6.620107413368714333e-06 -1.406056552563650358e-10 1.364735117911908492e-10
.0625000	1.496626611495317305e-03 7.252125107384507219e-01 7.794618707576694838e-06 -7.565548749255412986e-06 -1.836365271462581375e-10 1.782397966751392406e-10
.0703125	1.496561911574084648e-03 7.252125735369580051e-01 8.768566960082324613e-06 -8.510874778266952490e-06 -2.323982333801710991e-10 2.255685053678680135e-10
.0781250	1.496489603207363985e-03 7.252126437203156861e-01 9.742381439109548680e-06 -9.456071097702078987e-06 -2.868882939960348983e-10 2.784572332864554761e-10
.0859375	1.496409687498275951e-03 7.252127212874540652e-01 1.071604729285802193e-05 -1.040112331196496598e-05 -3.471039377189733039e-10 3.369032933786542318e-10
