#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	5.643022037193478582e+02 0.000000000000000000e+00 4.867084634915518109e+02 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	5.568612399311726904e+02 0.000000000000000000e+00 1.908334667781979078e+03 -0.000000000000000000e+00 -5.582713049436952360e-03 0.000000000000000000e+00
.0156250	5.351218956825662190e+02 0.000000000000000000e+00 3.667678942318372719e+03 -0.000000000000000000e+00 -2.087797238067742173e-02 0.000000000000000000e+00
.0234375	5.007595730457689456e+02 0.000000000000000000e+00 5.148251834867947764e+03 -0.000000000000000000e+00 -4.192076978404173787e-02 0.000000000000000000e+00
.0312500	4.563279618237132809e+02 0.000000000000000000e+00 6.255287277311745129e+03 -0.000000000000000000e+00 -6.329400971845375312e-02 0.000000000000000000e+00
.0390625	4.049457411036498229e+02 0.000000000000000000e+00 6.938700942638191918e+03 -0.000000000000000000e+00 -7.953456092188880555e-02 0.000000000000000000e+00
.0468750	3.499365788140750055e+02 0.000000000000000000e+00 7.195372109861222270e+03 -0.000000000000000000e+00 -8.647530215405710430e-02 2.131628207280300852e-19
.0546875	2.944798391059941309e+02 0.000000000000000000e+00 7.064277791566604719e+03 -0.000000000000000000e+00 -8.215881376498063160e-02 -5.684341886080801952e-19
.0625000	2.413218317241151567e+02 0.000000000000000000e+00 6.616104764530809916e+03 -0.000000000000000000e+00 -6.711459436671420031e-02 6.394884621840902076e-19
.0703125	1.925811123307497894e+02 0.000000000000000000e+00 5.939825056898827825e+03 -0.000000000000000000e+00 -4.399657406729486075e-02 -5.684341886080801952e-19
.0781250	1.496608121615372795e+02 0.000000000000000000e+00 5.128935606287882365e+03 -0.000000000000000000e+00 -1.675876601341477062e-02 5.684341886080801952e-19
.0859375	1.132612080444603606e+02 0.000000000000000000e+00 4.269673573723660411e+03 -0.000000000000000000e+00 1.035101926008212200e-02 -5.684341886080801952e-19
.0937500	8.347075660707082534e+01 0.000000000000000000e+00 3.432716475581292798e+03 -0.000000000000000000e+00 3.369656664148917152e-02 5.684341886080801952e-19
.1015625	5.990581183395800480e+01 0.000000000000000000e+00 2.668922768874926078e+03 -0.000000000000000000e+00 5.085472540492243926e-02 4.263256414560601705e-19
.1093750	4.186839865390730608e+01 0.000000000000000000e+00 2.008811487363453125e+03 -0.000000000000000000e+00 6.083168441031547996e-02 -1.705302565824240682e-18
.1171875	2.849625484464479186e+01 0.000000000000000000e+00 1.464888614486292909e+03 -0.000000000000000000e+00 6.393053321213147677e-02 7.105427357601002199e-19
.1250000	1.888749672392787460e+01 0.000000000000000000e+00 1.035667336863372384e+03 -0.000000000000000000e+00 6.138606839065207516e-02 5.684341886080801952e-19
.1328125	1.219122013455193709e+01 0.000000000000000000e+00 7.102672826002454940e+02 -0.000000000000000000e+00 5.491028891962540515e-02 5.684341886080801952e-19
.1406250	7.663141884445607843e+00 0.000000000000000000e+00 4.727203472718489365e+02 -0.000000000000000000e+00 4.627363047992787137e-02 5.684341886080801952e-19
.1484375	4.690876442353584252e+00 0.000000000000000000e+00 3.054435908041510288e+02 -0.000000000000000000e+00 3.700119880446037929e-02 -3.979039320256561463e-18
.1562500	2.796332192749624301e+00 0.000000000000000000e+00 1.916636977533876802e+02 -0.000000000000000000e+00 2.821130103131211722e-02 5.115907697472721660e-18
.1640625	1.623345743208780556e+00 0.000000000000000000e+00 1.168283345119803442e+02 -0.000000000000000000e+00 2.058176823962871646e-02 -3.979039320256561463e-18
.1718750	9.177412089103328396e-01 0.000000000000000000e+00 6.919209868891613269e+01 -0.000000000000000000e+00 1.440580016890526116e-02 5.684341886080801952e-19
.1796875	5.052605257892736068e-01 0.000000000000000000e+00 3.982459532578575079e+01 -0.000000000000000000e+00 9.693251726731447540e-03 5.684341886080801952e-19
.1875000	2.708912076481029274e-01 0.000000000000000000e+00 2.227961209961221911e+01 -0.000000000000000000e+00 6.280254601776811413e-03 5.684341886080801952e-19
.1953125	1.414349542484889810e-01 0.000000000000000000e+00 1.211686185791811710e+01 -0.000000000000000000e+00 3.923056896888830851e-03 5.684341886080801952e-19
.2031250	7.191147209826184716e-02 0.000000000000000000e+00 6.407008891523362060e+00 -0.000000000000000000e+00 2.365237263229529388e-03 5.684341886080801952e-19
.2109375	3.560539211247221170e-02 0.000000000000000000e+00 3.294216221689385993e+00 -0.000000000000000000e+00 1.377568706946970169e-03 2.842170943040400976e-19
.2187500	1.716743369793373789e-02 0.000000000000000000e+00 1.647111383138047280e+00 -0.000000000000000000e+00 7.756489888618946964e-04 -8.242295734817162204e-18
.2265625	8.060500986742947724e-03 0.000000000000000000e+00 8.009486661640882188e-01 -0.000000000000000000e+00 4.224808680385453742e-04 9.947598300641404042e-18
.2343750	3.685359981085008837e-03 0.000000000000000000e+00 3.788164864058579107e-01 -0.000000000000000000e+00 2.227285096045087645e-04 -8.526512829121203024e-18
.2421875	1.640787217903857606e-03 0.000000000000000000e+00 1.742699616707446553e-01 -0.000000000000000000e+00 1.137041271309457795e-04 9.663381206337363222e-18
.2500000	7.113303455681310034e-04 0.000000000000000000e+00 7.798452896717492089e-02 -0.000000000000000000e+00 5.623231994895128432e-05 -8.526512829121203024e-18
.2578125	3.002813322188146940e-04 0.000000000000000000e+00 3.394732174709703260e-02 -0.000000000000000000e+00 2.695007927236703959e-05 9.663381206337363222e-18
.2656250	1.234279007564749247e-04 0.000000000000000000e+00 1.437570014144499107e-02 -0.000000000000000000e+00 1.252085096492941394e-05 -8.526512829121203024e-18
.2734375	4.939867113138060302e-05 0.000000000000000000e+00 5.922305578249539501e-03 -0.000000000000000000e+00 5.640610680527116684e-06 9.663381206337363222e-18
.2812500	1.924960232926476448e-05 0.000000000000000000e+00 2.373556782507405417e-03 -0.000000000000000000e+00 2.464569261431469549e-06 -9.094947017729283123e-18
.2890625	7.303300579194392903e-06 0.000000000000000000e+00 9.254673009072142062e-04 -0.000000000000000000e+00 1.044647774255790820e-06 9.663381206337363222e-18
.2968750	2.697692666151267267e-06 0.000000000000000000e+00 3.510571857996734949e-04 -0.000000000000000000e+00 4.296280875806387680e-07 -8.526512829121203024e-18
.3046875	9.701193556990923403e-07 0.000000000000000000e+00 1.295537071504634821e-04 -0.000000000000000000e+00 1.714664660962534670e-07 -8.526512829121203024e-18
.3125000	3.396247050913320032e-07 0.000000000000000000e+00 4.651297260047868856e-05 -0.000000000000000000e+00 6.641866537190177631e-08 2.785327524179593255e-17
.3203125	1.157431252816029686e-07 0.000000000000000000e+00 1.624594538175536698e-05 -0.000000000000000000e+00 2.497341078913330177e-08 -2.671640686457976927e-17
.3281250	3.839650779770568710e-08 0.000000000000000000e+00 5.520192412741986569e-06 -0.000000000000000000e+00 9.115638291967585779e-09 9.663381206337363222e-18
.3359375	1.239840670238861655e-08 0.000000000000000000e+00 1.824697245188224630e-06 -0.000000000000000000e+00 3.230394232120522243e-09 -8.526512829121203024e-18
.3437500	3.896663471549435860e-09 0.000000000000000000e+00 5.867339116934001358e-07 -0.000000000000000000e+00 1.111512550350344911e-09 2.785327524179593255e-17
.3515625	1.191917401672546743e-09 0.000000000000000000e+00 1.835224074863730561e-07 -0.000000000000000000e+00 3.713545004222068421e-10 -4.490630090003833244e-17
.3593750	3.548110022740045963e-10 0.000000000000000000e+00 5.583617421453295169e-08 -0.000000000000000000e+00 1.204752413069744475e-10 2.785327524179593255e-17
.3671875	1.027815230962149474e-10 0.000000000000000000e+00 1.652339586080811699e-08 -0.000000000000000000e+00 3.795382648547128749e-11 -8.526512829121203024e-18
.3750000	2.897125870493897986e-11 0.000000000000000000e+00 4.755715002588569756e-09 -0.000000000000000000e+00 1.161102678128105523e-11 -7.958078640513122925e-18
.3828125	7.945461568788265029e-12 0.000000000000000000e+00 1.331184436908895614e-09 -0.000000000000000000e+00 3.449424360202405835e-12 2.785327524179593255e-17
.3906250	2.119986968899994950e-12 0.000000000000000000e+00 3.623571358592559207e-10 -0.000000000000000000e+00 9.951358683351654662e-13 -9.094947017729283123e-18
.3984375	5.502626483215725194e-13 0.000000000000000000e+00 9.591334801178851472e-11 -0.000000000000000000e+00 2.787866764532250856e-13 -8.526512829121203024e-18
.4062500	1.389273366318047016e-13 0.000000000000000000e+00 2.468479588704170684e-11 -0.000000000000000000e+00 7.584117969400710018e-14 -7.958078640513122925e-18
.4140625	3.411471449995061662e-14 0.000000000000000000e+00 6.176607140094975276e-12 -0.000000000000000000e+00 2.003395252673656842e-14 2.785327524179593255e-17
.4218750	8.146761965413270338e-15 0.000000000000000000e+00 1.502446709156885381e-12 -0.000000000000000000e+00 5.138511604843448638e-15 -4.490630090003833244e-17
.4296875	1.891767451544355792e-15 0.000000000000000000e+00 3.552486941279288750e-13 -0.000000000000000000e+00 1.279656649218340195e-15 6.366462912410498340e-17
.4375000	4.271075694859606287e-16 0.000000000000000000e+00 8.163995303974539544e-14 -0.000000000000000000e+00 3.093904609286785631e-16 -4.547473508864641407e-17
.4453125	9.374282187228139352e-17 0.000000000000000000e+00 1.823304313115677418e-14 -0.000000000000000000e+00 7.261817461469095415e-17 -7.389644451905042826e-18
