#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	2.724537613884686404e+00 1.084171137677242616e-02 6.613313101618700784e-02 -9.812016339288964772e-04 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	2.723504925369149010e+00 1.085705582626017573e-02 2.643821250485132168e-01 -3.933151130136258722e-03 -7.785219790419262694e-07 1.159227856380340521e-08
.0156250	2.720409207764686865e+00 1.090321960119944311e-02 5.281632217701996979e-01 -7.882168464135475006e-03 -3.108188449118358958e-06 4.649049527458260138e-08
.0234375	2.715257496036752372e+00 1.098032023369666099e-02 7.907445374122801240e-01 -1.185416827756569091e-02 -6.971347937524115400e-06 1.050589382990096992e-07
.0312500	2.708061485518962197e+00 1.108859933097816608e-02 1.051531861357204889e+00 -1.586328637146294795e-02 -1.233873732469945227e-05 1.879052333797659635e-07
.0390625	2.698837487676592595e+00 1.122839533287178782e-02 1.309937764567678187e+00 -1.992192772866729911e-02 -1.916971435827179108e-05 2.958810449140969944e-07
.0468750	2.687606368499054543e+00 1.140014369697750496e-02 1.565383804459287376e+00 -2.404252412162577457e-02 -2.741258021184336469e-05 4.300830232646291380e-07
.0546875	2.674393469850453453e+00 1.160437713026873929e-02 1.817302682090684129e+00 -2.823753977429532824e-02 -3.700498916468149290e-05 5.918539642397746742e-07
.0625000	2.659228514193155313e+00 1.184172586228171564e-02 2.065140340633007554e+00 -3.251947633648200053e-02 -4.787444169542254957e-05 7.827841370817623938e-07
.0703125	2.642145493185704908e+00 1.211291795399771498e-02 2.308357994257363544e+00 -3.690087703625266613e-02 -5.993885653819007355e-05 1.004712727916654603e-06
.0781250	2.623182540739491309e+00 1.241877963547621810e-02 2.546434077049894995e+00 -4.139432987745550463e-02 -7.310721655112047677e-05 1.259729336316013479e-06
.0859375	2.602381791197651673e+00 1.276023566426531808e-02 2.778866102103052071e+00 -4.601246975133932438e-02 -8.728028260151519176e-05 1.550175453556619441e-06
.0937500	2.579789223374326479e+00 1.313830969560436657e-02 3.005172421532250837e+00 -5.076797933394061602e-02 -1.023513690859709972e-04 1.878645842449486883e-06
.1015625	2.555454491262115102e+00 1.355412465444083558e-02 3.224893878829618643e+00 -5.567358864326621415e-02 -1.182071741832266005e-04 2.247989729873012531e-06
