#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	2.305964326614202946e+03 0.000000000000000000e+00 5.206982261025987100e+03 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	2.229021045070278888e+03 0.000000000000000000e+00 1.978622114494323614e+04 -0.000000000000000000e+00 -5.725253721580637195e-02 0.000000000000000000e+00
.0156250	2.013255628928055103e+03 0.000000000000000000e+00 3.574380592508574773e+04 -0.000000000000000000e+00 -1.920866440327323177e-01 0.000000000000000000e+00
.0234375	1.699073125829892206e+03 0.000000000000000000e+00 4.525172988203933346e+04 -0.000000000000000000e+00 -3.182012224517179466e-01 0.000000000000000000e+00
.0312500	1.339864974757543450e+03 0.000000000000000000e+00 4.758411255486838490e+04 -0.000000000000000000e+00 -3.551826538405367661e-01 0.000000000000000000e+00
.0390625	9.873141731818408289e+02 0.000000000000000000e+00 4.383405965510368696e+04 -0.000000000000000000e+00 -2.752316022009632102e-01 0.000000000000000000e+00
.0468750	6.798388482387484828e+02 0.000000000000000000e+00 3.622360504573107755e+04 -0.000000000000000000e+00 -1.121538684477167563e-01 2.131628207280300852e-19
.0546875	4.374456433104228381e+02 0.000000000000000000e+00 2.719589027570920371e+04 -0.000000000000000000e+00 6.657558067869642771e-02 -5.684341886080801952e-19
.0625000	2.630390051374710083e+02 0.000000000000000000e+00 1.869096932548355471e+04 -0.000000000000000000e+00 1.999874864182669687e-01 6.394884621840902076e-19
.0703125	1.478095417223663901e+02 0.000000000000000000e+00 1.181668897426683907e+04 -0.000000000000000000e+00 2.597959784468361621e-01 -5.684341886080801952e-19
.0781250	7.762039524045039229e+01 0.000000000000000000e+00 6.895071354142146447e+03 -0.000000000000000000e+00 2.524370130300473969e-01 5.684341886080801952e-19
.0859375	3.809255362499251873e+01 0.000000000000000000e+00 3.722071746839255866e+03 -0.000000000000000000e+00 2.041956895340210076e-01 -5.684341886080801952e-19
.0937500	1.746981992642053427e+01 0.000000000000000000e+00 1.862007408728351493e+03 -0.000000000000000000e+00 1.433666307312680688e-01 5.684341886080801952e-19
.1015625	7.486968195202773124e+00 0.000000000000000000e+00 8.643409588295677395e+02 -0.000000000000000000e+00 8.924775385805899797e-02 4.263256414560601705e-19
.1093750	2.998252241083533054e+00 0.000000000000000000e+00 3.726607476969984987e+02 -0.000000000000000000e+00 4.988291098423248277e-02 -1.705302565824240682e-18
.1171875	1.121861047748416995e+00 0.000000000000000000e+00 1.493414866029254426e+02 -0.000000000000000000e+00 2.523766351048080045e-02 7.105427357601002199e-19
.1250000	3.921660075235167686e-01 0.000000000000000000e+00 5.565664789369421328e+01 -0.000000000000000000e+00 1.162329704994111146e-02 5.684341886080801952e-19
.1328125	1.280553353633742397e-01 0.000000000000000000e+00 1.929693104647686042e+01 -0.000000000000000000e+00 4.892696123322100125e-03 5.684341886080801952e-19
.1406250	3.905200052152048296e-02 0.000000000000000000e+00 6.225909651522078647e+00 -0.000000000000000000e+00 1.888017468282672702e-03 5.684341886080801952e-19
.1484375	1.112014665826728706e-02 0.000000000000000000e+00 1.869479442687334680e+00 -0.000000000000000000e+00 6.693948723959229933e-04 -3.979039320256561463e-18
.1562500	2.955864015136250213e-03 0.000000000000000000e+00 5.224661305995220717e-01 -0.000000000000000000e+00 2.184346186160242265e-04 5.115907697472721660e-18
.1640625	7.332130892892190594e-04 0.000000000000000000e+00 1.358911977098208046e-01 -0.000000000000000000e+00 6.568817136146463530e-05 -3.979039320256561463e-18
.1718750	1.696647747802737993e-04 0.000000000000000000e+00 3.288961843610669483e-02 -0.000000000000000000e+00 1.822219808108146416e-05 5.684341886080801952e-19
.1796875	3.660921004525937166e-05 0.000000000000000000e+00 7.405653928346078718e-03 -0.000000000000000000e+00 4.666240311134611015e-06 5.684341886080801952e-19
.1875000	7.362480778900879432e-06 0.000000000000000000e+00 1.550861957813287400e-03 -0.000000000000000000e+00 1.103553460000274713e-06 5.684341886080801952e-19
.1953125	1.379324632901278909e-06 0.000000000000000000e+00 3.019410943824389452e-04 -0.000000000000000000e+00 2.411031012404023310e-07 5.684341886080801952e-19
.2031250	2.405830881805478050e-07 0.000000000000000000e+00 5.462751882237878033e-05 -0.000000000000000000e+00 4.866814100950687749e-08 5.684341886080801952e-19
