#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	8.148099003371581236e-04 7.258745667154645753e-01 8.841025167516392003e-08 -8.588602185000127065e-08 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	8.148085189308130159e-04 7.258745680574300030e-01 3.536401072257167044e-07 -3.435440874000050826e-07 -1.041555207116629127e-12 1.011820858730361362e-12
.0156250	8.148043747258315551e-04 7.258745720833261750e-01 7.072766170304611855e-07 -6.870852686802209064e-07 -4.166185511925157817e-12 4.047249150609943980e-12
.0234375	8.147974677643687142e-04 7.258745787931074611e-01 1.060905932326328127e-06 -1.030619174002822547e-06 -9.373784966432154207e-12 9.106182023294051701e-12
.0312500	8.147877981166833962e-04 7.258745881867059158e-01 1.414524455976839956e-06 -1.374142591714644368e-06 -1.666417699549421924e-11 1.618844806112324172e-11
.0390625	8.147753658811360484e-04 7.258746002640259487e-01 1.768128591012052553e-06 -1.717652047261708503e-06 -2.603711440000988702e-11 2.529380729136832315e-11
.0468750	8.147601711841871448e-04 7.258746150249447693e-01 2.121714740739577554e-06 -2.061144051879182371e-06 -3.749227937235866317e-11 3.642195118815084190e-11
.0546875	8.147422141803952345e-04 7.258746324693123864e-01 2.475279308786215715e-06 -2.404615095485951315e-06 -5.102928349778879803e-11 4.957250269423119414e-11
.0625000	8.147214950524146650e-04 7.258746525969513863e-01 2.828818699104895806e-06 -2.748061703528037469e-06 -6.664766778144427256e-11 6.474501621819839488e-11
.0703125	8.146980140109914620e-04 7.258746754076572660e-01 3.182329316120391383e-06 -3.091480380135180894e-06 -8.434690264791379103e-11 8.193897766961555400e-11
.0781250	8.146717712949606187e-04 7.258747009011982110e-01 3.535807564708504103e-06 -3.434867622331694292e-06 -1.041263879790477241e-10 1.011538044602689028e-10
.0859375	8.146427671712418682e-04 7.258747290773149841e-01 3.889249850307086032e-06 -3.778219962669027154e-06 -1.259854531214521649e-10 1.223888455324784189e-10
.0937500	8.146110019348349121e-04 7.258747599357212588e-01 4.242652579006245261e-06 -4.121533905276919540e-06 -1.499233569102198618e-10 1.456433813896984681e-10
.1015625	8.145764759088144338e-04 7.258747934761033971e-01 4.596012157478956972e-06 -4.464805947179684154e-06 -1.759392877026533510e-10 1.709166240963788771e-10
.1093750	8.145391894443253277e-04 7.258748296981205606e-01 4.949324993168413567e-06 -4.808032613823343127e-06 -2.040323634056040513e-10 1.982077173487417763e-10
.1171875	8.144991429205756519e-04 7.258748686014045992e-01 5.302587494371291399e-06 -5.151210430653918593e-06 -2.342016315270978339e-10 2.275157364520219711e-10
.1250000	8.144563367448309906e-04 7.258749101855600516e-01 5.655796070154484045e-06 -5.494335887590295897e-06 -2.664460691240155902e-10 2.588396884070642993e-10
.1328125	8.144107713524070813e-04 7.258749544501644779e-01 6.008947130500819078e-06 -5.837405502973069815e-06 -3.007645829708472275e-10 2.921785119094910735e-10
.1406250	8.143624472066630926e-04 7.258750013947680158e-01 6.362037086427019261e-06 -6.180415809353689838e-06 -3.371560095169479378e-10 3.275310773903639279e-10
.1484375	8.143113647989929510e-04 7.258750510188936023e-01 6.715062349955946974e-06 -6.523363310861896025e-06 -3.756191149012489334e-10 3.648961870680867394e-10
.1562500	8.142575246488174259e-04 7.258751033220369742e-01 7.068019334199870940e-06 -6.866244532943710510e-06 -4.161525951060230325e-10 4.042725750086351294e-10
.1640625	8.142009273035754561e-04 7.258751583036666677e-01 7.420904453457610739e-06 -7.209055986834300711e-06 -4.587550758555770069e-10 4.456589071144545625e-10
.1718750	8.141415733387142835e-04 7.258752159632241296e-01 7.773714123179842339e-06 -7.551794190874261403e-06 -5.034251127805644445e-10 4.890537812266005571e-10
.1796875	8.140794633576811049e-04 7.258752763001234953e-01 8.126444760142570445e-06 -7.894455677615042077e-06 -5.501611914682236851e-10 5.344557271549921439e-10
.1875000	8.140145979919106035e-04 7.258753393137518106e-01 8.479092782481822965e-06 -8.237036965397237509e-06 -5.989617274271275182e-10 5.818632067181029388e-10
.1953125	8.139469779008164920e-04 7.258754050034689209e-01 8.831654609693651015e-06 -8.579534572561442474e-06 -6.498250662265171051e-10 6.312746138237291258e-10
.2031250	8.138766037717788280e-04 7.258754733686074712e-01 9.184126662738212321e-06 -8.921945024553679104e-06 -7.027494834666026270e-10 6.826882745120111206e-10
