#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	8.114632997291475469e-01 1.952502639422655784e-01 8.782282193976698181e-03 -2.867334195746806813e-03 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	8.113261145775055860e-01 1.952950642974741191e-01 3.512022045138962767e-02 -1.147328590676544025e-02 -1.034288416752460214e-07 3.379549334058040812e-08
.0156250	8.109146982611815657e-01 1.954295270494346148e-01 7.020482260620752868e-02 -2.294783906160802189e-02 -4.133657143473712477e-07 1.351658864315652628e-07
.0234375	8.102294679616992568e-01 1.956536102815122913e-01 1.052182483383461431e-01 -3.441765664918250422e-02 -9.287629019571497729e-07 3.040627903048687507e-07
.0312500	8.092711181980901669e-01 1.959672818769743197e-01 1.401250598003827008e-01 -4.588253451287727103e-02 -1.647878342712907534e-06 5.404051300494217478e-07
.0390625	8.080406196538905128e-01 1.963704967027446457e-01 1.748899991671919452e-01 -5.734079714412843032e-02 -2.568281808955177574e-06 8.440785070400025693e-07
.0468750	8.065392175386968399e-01 1.968631964403314560e-01 2.094780479883411317e-01 -6.879074433929588395e-02 -3.686863523868879769e-06 1.214934310397737401e-06
.0546875	8.047684294882420097e-01 1.974453093692690731e-01 2.438544859695284117e-01 -8.023064515734290580e-02 -4.999845180131999033e-06 1.652788582018160979e-06
.0625000	8.027300430079468141e-01 1.981167501036923406e-01 2.779849490503281118e-01 -9.165873196495510911e-02 -6.502793315901272085e-06 2.157420640699143745e-06
.0703125	8.004261124659797222e-01 1.988774192827892362e-01 3.118354866425789851e-01 -1.030731945861020904e-01 -8.190634994038532878e-06 2.728571472138057344e-06
.0781250	7.978589556428994367e-01 1.997272032160186672e-01 3.453726178957978732e-01 -1.144721745731018814e-01 -1.005767572127311538e-05 3.365941892714516930e-06
.0859375	7.950311498459977644e-01 2.006659734841034215e-01 3.785633868592483964e-01 -1.258537596158646465e-01 -1.209761953500063384e-05 4.069190496163628319e-06
.0937500	7.919455275974579544e-01 2.016935864969463532e-01 4.113754164133851532e-01 -1.372159781057504802e-01 -1.430359117684091135e-05 4.837931393362424793e-06
.1015625	7.886051719064270937e-01 2.028098830097381233e-01 4.437769608471811011e-01 -1.485567938704335234e-01 -1.666816026387948563e-05 5.671731756623472838e-06
.1093750	7.850134111360500544e-01 2.040146875986583730e-01 4.757369569621872074e-01 -1.598741010957311914e-01 -1.918336736055607731e-05 6.570109180864705281e-06
.1171875	7.811738134774237619e-01 2.053078080976877828e-01 5.072250735880814432e-01 -1.711657194497604451e-01 -2.184075184697406013e-05 7.532528875148899195e-06
