#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.337254552323597634e-01 6.013857513659650600e-01 4.349675540442632382e-04 -3.922373834868153608e-04 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.337186594302008646e-01 6.013918795933388406e-01 1.739737588398071466e-03 -1.568973518047300786e-03 -5.123819943189112067e-09 4.621031994429536556e-09
.0156250	1.336982740957918525e-01 6.014102646501490179e-01 3.478944732815847374e-03 -3.137586647284251740e-03 -2.049007228296595739e-08 1.847969387641867958e-08
.0234375	1.336643054442863410e-01 6.014409005312171264e-01 5.217091258684192212e-03 -4.705251020091338887e-03 -4.608314010695835890e-08 4.156268767253390555e-08
.0312500	1.336167638307639849e-01 6.014837784189912551e-01 6.953647530437478963e-03 -6.271561239891809691e-03 -8.187701374429147055e-08 7.384786452340641752e-08
.0390625	1.335556637449700212e-01 6.015388859746393369e-01 8.688084720347433176e-03 -7.836066901951710406e-03 -1.278353185166114511e-07 1.153042463123288446e-07
.0468750	1.334810238039551566e-01 6.016062073437856705e-01 1.041987507694130954e-02 -9.398318440418051978e-03 -1.839113535418768292e-07 1.658920559135346439e-07
.0546875	1.333928667426215464e-01 6.016857231638800263e-01 1.214849219264912961e-02 -1.095786733702652782e-02 -2.500481415446742917e-07 2.255627560259121486e-07
.0625000	1.332912194021816932e-01 6.017774105731955592e-01 1.387341127044727784e-02 -1.251426632924079740e-02 -3.261784896088748619e-07 2.942590965544233962e-07
.0703125	1.331761127165383141e-01 6.018812432214486474e-01 1.559410938940608560e-02 -1.406706961755332941e-02 -4.122250608069500310e-07 3.719151704871137852e-07
.0781250	1.330475816965949465e-01 6.019971912820357707e-01 1.731006576889981829e-02 -1.561583307185543390e-02 -5.081004566055291534e-07 4.584564782024891812e-07
.0859375	1.329056654125082837e-01 6.021252214658779911e-01 1.902076203125524501e-02 -1.716011443686227267e-02 -6.137073099591816846e-07 5.538000001559773015e-07
.0937500	1.327504069738950632e-01 6.022652970368665981e-01 2.072568246274464343e-02 -1.869947353630152520e-02 -7.289383889754220094e-07 6.578542778406061192e-07
.1015625	1.325818535080073857e-01 6.024173778288974823e-01 2.242431427266211585e-02 -2.023347247580176145e-02 -8.536767110186360869e-07 7.705195029706502991e-07
.1093750	1.324000561358919803e-01 6.025814202644872442e-01 2.411614785034110753e-02 -2.176167584444499425e-02 -9.877956671224197093e-07 8.916876147544883904e-07
.1171875	1.322050699465502632e-01 6.027573773749558272e-01 2.580067701991772822e-02 -2.328365091474182691e-02 -1.131159156560173098e-06 1.021242405193163581e-06
.1250000	1.319969539691175087e-01 6.029451988221667946e-01 2.747739929265691217e-02 -2.479896784088708728e-02 -1.283621731397879362e-06 1.159059632256713815e-06
.1328125	1.317757711430807277e-01 6.031448309218081505e-01 2.914581611668154437e-02 -2.630719985535989736e-02 -1.445028750864487790e-06 1.305007140847891480e-06
.1406250	1.315415882865567376e-01 6.033562166682024941e-01 3.080543312392514110e-02 -2.780792346352711775e-02 -1.615216545361946066e-06 1.458944991397714963e-06
.1484375	1.312944760626517382e-01 6.035792957606296305e-01 3.245576037412867265e-02 -2.930071863620753447e-02 -1.794012589889746413e-06 1.620725595988119616e-06
.1562500	1.310345089439274024e-01 6.038140046311446518e-01 3.409631259570566897e-02 -3.078516900021099900e-02 -1.981235686695157656e-06 1.790193861818672055e-06
.1640625	1.307617651749977961e-01 6.040602764738771668e-01 3.572660942336014500e-02 -3.226086202651856638e-02 -2.176696156933175650e-06 1.967187341908705116e-06
.1718750	1.304763267332829380e-01 6.043180412757893638e-01 3.734617563221753755e-02 -3.372738921613205321e-02 -2.380196041069311466e-06 2.151536392823913973e-06
.1796875	1.301782792879480899e-01 6.045872258488786954e-01 3.895454136835851955e-02 -3.518434628344380144e-02 -2.591529307841540567e-06 2.343064339329998936e-06
.1875000	1.298677121570557258e-01 6.048677538638013162e-01 4.055124237561713585e-02 -3.663133333700585581e-02 -2.810482071474283287e-06 2.541587645710734669e-06
.1953125	1.295447182629615446e-01 6.051595458848981757e-01 4.213582021842299241e-02 -3.806795505762039511e-02 -3.036832816904464654e-06 2.746916093644103068e-06
.2031250	1.292093940859852241e-01 6.054625194066010074e-01 4.370782250060045726e-02 -3.949382087358799254e-02 -3.270352632778142246e-06 2.958852966441654428e-06
.2109375	1.288618396163879742e-01 6.057765888911965657e-01 4.526680307996144847e-02 -4.090854513307817797e-02 -3.510805451869245849e-06 3.177195239366312986e-06
.2187500	1.285021583046907223e-01 6.061016658079254604e-01 4.681232227852660799e-02 -4.231174727348019360e-02 -3.757948298721416821e-06 3.401733775986954945e-06
.2265625	1.281304570103676543e-01 6.064376586733916108e-01 4.834394708826117437e-02 -4.370305198760604526e-02 -4.011531544115101314e-06 3.632253530184073525e-06
.2343750	1.277468459489500829e-01 6.067844730932585584e-01 4.986125137220120962e-02 -4.508208938672453314e-02 -4.271299166192648138e-06 3.868533753767949121e-06
.2421875	1.273514386375778351e-01 6.071420118052055503e-01 5.136381606081030782e-02 -4.644849516027704794e-02 -4.536989017739543836e-06 4.110348209316967482e-06
.2500000	1.269443518390354908e-01 6.075101747231191895e-01 5.285122934344421708e-02 -4.780191073216144559e-02 -4.808333099512084021e-06 4.357465388177602071e-06
.2578125	1.265257055043125245e-01 6.078888589824908983e-01 5.432308685483100419e-02 -4.914198341356268429e-02 -5.085057839148845583e-06 4.609648733274128182e-06
.2656250	1.260956227137262076e-01 6.082779589869966586e-01 5.577899185643886426e-02 -5.046836655219522072e-02 -5.366884375358651525e-06 4.866656866536587270e-06
.2734375	1.256542296166482386e-01 6.086773664562258324e-01 5.721855541258058508e-02 -5.178071967785768948e-02 -5.653528847106628201e-06 5.128243820735534203e-06
.2812500	1.252016553698763746e-01 6.090869704745348612e-01 5.864139656121025723e-02 -5.307870864426433855e-02 -5.944702687369698674e-06 5.394159275441339456e-06
