#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	6.468224751379539157e+02 0.000000000000000000e+00 6.119218128639186034e+02 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	6.374866346717514034e+02 0.000000000000000000e+00 2.394706385663273977e+03 -0.000000000000000000e+00 -7.000978646049589409e-03 0.000000000000000000e+00
.0156250	6.102798487819026150e+02 0.000000000000000000e+00 4.585023688886525633e+03 -0.000000000000000000e+00 -2.601212318158079365e-02 0.000000000000000000e+00
.0234375	5.674915078330749338e+02 0.000000000000000000e+00 6.395347554762745858e+03 -0.000000000000000000e+00 -5.164752123107965026e-02 0.000000000000000000e+00
.0312500	5.125812622192776189e+02 0.000000000000000000e+00 7.702071930646117835e+03 -0.000000000000000000e+00 -7.669799594433153456e-02 0.000000000000000000e+00
.0390625	4.497176917245865297e+02 0.000000000000000000e+00 8.446882807157915522e+03 -0.000000000000000000e+00 -9.416592073054443068e-02 0.000000000000000000e+00
.0468750	3.832588463534945618e+02 0.000000000000000000e+00 8.638370715317600116e+03 -0.000000000000000000e+00 -9.911995656785199671e-02 2.131628207280300852e-19
.0546875	3.172638899195795830e+02 0.000000000000000000e+00 8.342749519568031246e+03 -0.000000000000000000e+00 -8.982939634615956515e-02 -5.684341886080801952e-19
.0625000	2.551095873353914953e+02 0.000000000000000000e+00 7.666719139709502997e+03 -0.000000000000000000e+00 -6.791655763849223371e-02 6.394884621840902076e-19
.0703125	1.992563462127747016e+02 0.000000000000000000e+00 6.736740136700771473e+03 -0.000000000000000000e+00 -3.760173625269683240e-02 -5.684341886080801952e-19
.0781250	1.511744689853518651e+02 0.000000000000000000e+00 5.679052677929241327e+03 -0.000000000000000000e+00 -4.382465372739807220e-03 5.684341886080801952e-19
.0859375	1.114108172169263469e+02 0.000000000000000000e+00 4.603834500904278684e+03 -0.000000000000000000e+00 2.639599087866860080e-02 -5.684341886080801952e-19
.0937500	7.975549263472406381e+01 0.000000000000000000e+00 3.595369308418042692e+03 -0.000000000000000000e+00 5.067282614234473043e-02 5.684341886080801952e-19
.1015625	5.545999763414531714e+01 0.000000000000000000e+00 2.708485624978522537e+03 -0.000000000000000000e+00 6.626860813461117605e-02 4.263256414560601705e-19
.1093750	3.746162928773458134e+01 0.000000000000000000e+00 1.970240615790816491e+03 -0.000000000000000000e+00 7.291368536187738114e-02 -1.705302565824240682e-18
.1171875	2.458003267524747670e+01 0.000000000000000000e+00 1.385093046805293852e+03 -0.000000000000000000e+00 7.184072478706614306e-02 7.105427357601002199e-19
.1250000	1.566637134913115226e+01 0.000000000000000000e+00 9.416588511889460733e+02 -0.000000000000000000e+00 6.515755881740177557e-02 5.684341886080801952e-19
.1328125	9.699412888202150640e+00 0.000000000000000000e+00 6.194391855401624980e+02 -0.000000000000000000e+00 5.521377782817185609e-02 5.684341886080801952e-19
.1406250	5.833297104325729343e+00 0.000000000000000000e+00 3.944473363763528369e+02 -0.000000000000000000e+00 4.411154380612717502e-02 5.684341886080801952e-19
.1484375	3.407803095305661056e+00 0.000000000000000000e+00 2.432357968544826576e+02 -0.000000000000000000e+00 3.342587561184180017e-02 -3.979039320256561463e-18
.1562500	1.933865508388189491e+00 0.000000000000000000e+00 1.452952178522386077e+02 -0.000000000000000000e+00 2.412506350355810708e-02 5.115907697472721660e-18
.1640625	1.066027679621423419e+00 0.000000000000000000e+00 8.409632532735511745e+01 -0.000000000000000000e+00 1.663618390673237551e-02 -3.979039320256561463e-18
.1718750	5.708204822820269753e-01 0.000000000000000000e+00 4.717414218689468441e+01 -0.000000000000000000e+00 1.098655493191693505e-02 5.684341886080801952e-19
.1796875	2.969047566262156823e-01 0.000000000000000000e+00 2.565177908526644046e+01 -0.000000000000000000e+00 6.961327370313875711e-03 5.684341886080801952e-19
.1875000	1.500092997325487842e-01 0.000000000000000000e+00 1.352354774531479364e+01 -0.000000000000000000e+00 4.238236087010978544e-03 5.684341886080801952e-19
.1953125	7.362047667874048462e-02 0.000000000000000000e+00 6.913315417039364696e+00 -0.000000000000000000e+00 2.482343048521139933e-03 5.684341886080801952e-19
.2031250	3.509566687924304401e-02 0.000000000000000000e+00 3.427352172292270627e+00 -0.000000000000000000e+00 1.400079168336045661e-03 5.684341886080801952e-19
.2109375	1.625087570616206081e-02 0.000000000000000000e+00 1.647987802884603781e+00 -0.000000000000000000e+00 7.610579863709740359e-04 2.842170943040400976e-19
.2187500	7.309055392809924410e-03 0.000000000000000000e+00 7.686197719056452327e-01 -0.000000000000000000e+00 3.989896820836553288e-04 -8.242295734817162204e-18
.2265625	3.192997238546116823e-03 0.000000000000000000e+00 3.477480046171082528e-01 -0.000000000000000000e+00 2.018569488692536639e-04 9.947598300641404042e-18
.2343750	1.354811609955470500e-03 0.000000000000000000e+00 1.526303626475684627e-01 -0.000000000000000000e+00 9.860213150843568101e-05 -8.526512829121203024e-18
.2421875	5.583303272150413063e-04 0.000000000000000000e+00 6.499245920967021417e-02 -0.000000000000000000e+00 4.652444551805447247e-05 9.663381206337363222e-18
.2500000	2.234718566015868248e-04 0.000000000000000000e+00 2.685026461784667182e-02 -0.000000000000000000e+00 2.121261988976032772e-05 -8.526512829121203024e-18
.2578125	8.686794464731834248e-05 0.000000000000000000e+00 1.076244968930566322e-02 -0.000000000000000000e+00 9.349093065480335154e-06 9.663381206337363222e-18
.2656250	3.279332437515061679e-05 0.000000000000000000e+00 4.185620843668486774e-03 -0.000000000000000000e+00 3.984112582282860520e-06 -8.526512829121203024e-18
.2734375	1.202216989145892415e-05 0.000000000000000000e+00 1.579428843078790065e-03 -0.000000000000000000e+00 1.642059905739972271e-06 9.663381206337363222e-18
.2812500	4.279886519508511363e-06 0.000000000000000000e+00 5.782732325943913633e-04 -0.000000000000000000e+00 6.546895831911204552e-07 -9.094947017729283123e-18
.2890625	1.479490296785326740e-06 0.000000000000000000e+00 2.054265963230266379e-04 -0.000000000000000000e+00 2.525525265895661386e-07 9.663381206337363222e-18
.2968750	4.965910646804732588e-07 0.000000000000000000e+00 7.080515835463647544e-05 -0.000000000000000000e+00 9.427728134638835799e-08 -8.526512829121203024e-18
.3046875	1.618329213650877127e-07 0.000000000000000000e+00 2.367817967048315510e-05 -0.000000000000000000e+00 3.406121203966170678e-08 -8.526512829121203024e-18
.3125000	5.120213431996317587e-08 0.000000000000000000e+00 7.682347277038342206e-06 -0.000000000000000000e+00 1.191132058749870645e-08 2.785327524179593255e-17
.3203125	1.572650215250029742e-08 0.000000000000000000e+00 2.418161509482666919e-06 -0.000000000000000000e+00 4.032242945950155810e-09 -2.671640686457976927e-17
.3281250	4.688849585000350008e-09 0.000000000000000000e+00 7.384183277898609597e-07 -0.000000000000000000e+00 1.321455039160667831e-09 9.663381206337363222e-18
.3359375	1.356922955851731887e-09 0.000000000000000000e+00 2.187368635445235090e-07 -0.000000000000000000e+00 4.192772221950038851e-10 -8.526512829121203024e-18
.3437500	3.811191475080390585e-10 0.000000000000000000e+00 6.285167855416205044e-08 -0.000000000000000000e+00 1.287983520731378516e-10 2.785327524179593255e-17
.3515625	1.038824577928032940e-10 0.000000000000000000e+00 1.751687589974194523e-08 -0.000000000000000000e+00 3.830800826248283425e-11 -4.490630090003833244e-17
.3593750	2.747614596702137519e-11 0.000000000000000000e+00 4.734860457805552604e-09 -0.000000000000000000e+00 1.103170203883048155e-11 2.785327524179593255e-17
.3671875	7.051066851318041587e-12 0.000000000000000000e+00 1.241168386841246046e-09 -0.000000000000000000e+00 3.075857728373881181e-12 -8.526512829121203024e-18
.3750000	1.755453793081499252e-12 0.000000000000000000e+00 3.154900927967450083e-10 -0.000000000000000000e+00 8.303317469709214024e-13 -7.958078640513122925e-18
.3828125	4.239419591967886012e-13 0.000000000000000000e+00 7.775475510062684596e-11 -0.000000000000000000e+00 2.170119306687431071e-13 2.785327524179593255e-17
