#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	1.706516240650578311e+03 0.000000000000000000e+00 3.130245416324512917e+03 -0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	1.659787765733861761e+03 0.000000000000000000e+00 1.200697271681086568e+04 -0.000000000000000000e+00 -3.485882659390984045e-02 0.000000000000000000e+00
.0156250	1.527140374258198790e+03 0.000000000000000000e+00 2.209536847982916515e+04 -0.000000000000000000e+00 -1.208696209790761505e-01 0.000000000000000000e+00
.0234375	1.329207216881268550e+03 0.000000000000000000e+00 2.884825282382454316e+04 -0.000000000000000000e+00 -2.125356008327535795e-01 0.000000000000000000e+00
.0312500	1.094455650930627826e+03 0.000000000000000000e+00 3.167242367472276965e+04 -0.000000000000000000e+00 -2.617357068083503990e-01 0.000000000000000000e+00
.0390625	8.525133907738613743e+02 0.000000000000000000e+00 3.084005986928733910e+04 -0.000000000000000000e+00 -2.416300904951972361e-01 0.000000000000000000e+00
.0468750	6.282155514005642090e+02 0.000000000000000000e+00 2.727261734857108604e+04 -0.000000000000000000e+00 -1.571740458416688579e-01 2.131628207280300852e-19
.0546875	4.379535635940124507e+02 0.000000000000000000e+00 2.218280152566717879e+04 -0.000000000000000000e+00 -3.858400719877874696e-02 -5.684341886080801952e-19
.0625000	2.888463680207520383e+02 0.000000000000000000e+00 1.672127419296066728e+04 -0.000000000000000000e+00 7.582932122386119855e-02 6.394884621840902076e-19
.0703125	1.802321505109914597e+02 0.000000000000000000e+00 1.173832846711956154e+04 -0.000000000000000000e+00 1.566729350610865934e-01 -5.684341886080801952e-19
.0781250	1.063971490062615572e+02 0.000000000000000000e+00 7.699724529533956229e+03 -0.000000000000000000e+00 1.922803140549087519e-01 5.684341886080801952e-19
.0859375	5.942429853241957716e+01 0.000000000000000000e+00 4.730511055820509682e+03 -0.000000000000000000e+00 1.876712730947251162e-01 -5.684341886080801952e-19
.0937500	3.140044538498376525e+01 0.000000000000000000e+00 2.726870071095107505e+03 -0.000000000000000000e+00 1.573286826068698296e-01 5.684341886080801952e-19
.1015625	1.569795591630251685e+01 0.000000000000000000e+00 1.476785183841153867e+03 -0.000000000000000000e+00 1.170733520077090889e-01 4.263256414560601705e-19
.1093750	7.424711335049158478e+00 0.000000000000000000e+00 7.521538622184390306e+02 -0.000000000000000000e+00 7.869956089321120118e-02 -1.705302565824240682e-18
.1171875	3.322260868524891553e+00 0.000000000000000000e+00 3.605572766953058590e+02 -0.000000000000000000e+00 4.830380012327483569e-02 7.105427357601002199e-19
.1250000	1.406332926486769219e+00 0.000000000000000000e+00 1.627746455269208639e+02 -0.000000000000000000e+00 2.726129679445307707e-02 5.684341886080801952e-19
.1328125	5.631428537939754397e-01 0.000000000000000000e+00 6.923915674202858384e+01 -0.000000000000000000e+00 1.421721163708733124e-02 5.684341886080801952e-19
.1406250	2.133011152162306578e-01 0.000000000000000000e+00 2.776060377788923361e+01 -0.000000000000000000e+00 6.876293583563328204e-03 5.684341886080801952e-19
.1484375	7.641372505305249474e-02 0.000000000000000000e+00 1.049391791427982312e+01 -0.000000000000000000e+00 3.092779748418843320e-03 -3.979039320256561463e-18
.1562500	2.588829952572336418e-02 0.000000000000000000e+00 3.740787607560765338e+00 -0.000000000000000000e+00 1.296308572406235180e-03 5.115907697472721660e-18
.1640625	8.293342182677247015e-03 0.000000000000000000e+00 1.257649638192015029e+00 -0.000000000000000000e+00 5.071577791173556430e-04 -3.979039320256561463e-18
.1718750	2.511762080994283611e-03 0.000000000000000000e+00 3.987995201520391220e-01 -0.000000000000000000e+00 1.854435756126253875e-04 5.684341886080801952e-19
.1796875	7.190636546484792347e-04 0.000000000000000000e+00 1.192750556568889370e-01 -0.000000000000000000e+00 6.343869003386660554e-05 5.684341886080801952e-19
.1875000	1.945362149230356764e-04 0.000000000000000000e+00 3.364514893176529658e-02 -0.000000000000000000e+00 2.031954982027735999e-05 5.684341886080801952e-19
.1953125	4.972430379841610463e-05 0.000000000000000000e+00 8.950101833700119594e-03 -0.000000000000000000e+00 6.097555443344385082e-06 5.684341886080801952e-19
.2031250	1.200462473580413058e-05 0.000000000000000000e+00 2.244909305101803858e-03 -0.000000000000000000e+00 1.715047998319289214e-06 5.684341886080801952e-19
.2109375	2.736537766260557460e-06 0.000000000000000000e+00 5.308180094881628178e-04 -0.000000000000000000e+00 4.522872985212471626e-07 2.842170943040400976e-19
.2187500	5.888066073286300595e-07 0.000000000000000000e+00 1.182925857435753592e-04 -0.000000000000000000e+00 1.118554892590297478e-07 -8.242295734817162204e-18
.2265625	1.195338451233122579e-07 0.000000000000000000e+00 2.483714624423256752e-05 -0.000000000000000000e+00 2.594452881109971204e-08 9.947598300641404042e-18
.2343750	2.288585317291429852e-08 0.000000000000000000e+00 4.911606154848761527e-06 -0.000000000000000000e+00 5.643884124216695349e-09 -8.526512829121203024e-18
.2421875	4.130416968884522787e-09 0.000000000000000000e+00 9.144211409303006381e-07 -0.000000000000000000e+00 1.151364557889488670e-09 9.663381206337363222e-18
.2500000	7.023352660799237633e-10 0.000000000000000000e+00 1.602029508191265461e-07 -0.000000000000000000e+00 2.202274129528259909e-10 -8.526512829121203024e-18
.2578125	1.124531642520233220e-10 0.000000000000000000e+00 2.639817001015666335e-08 -0.000000000000000000e+00 3.948563979332190035e-11 9.663381206337363222e-18
.2656250	1.694363628933508985e-11 0.000000000000000000e+00 4.088930996468843483e-09 -0.000000000000000000e+00 6.633871672261482512e-12 -8.526512829121203024e-18
.2734375	2.400803914169764905e-12 0.000000000000000000e+00 5.949859601612369653e-10 -0.000000000000000000e+00 1.043930145703246115e-12 9.663381206337363222e-18
.2812500	3.196702325572150419e-13 0.000000000000000000e+00 8.127655457787208910e-11 -0.000000000000000000e+00 1.537919167450542877e-13 -9.094947017729283123e-18
.2890625	3.996595952595647490e-14 0.000000000000000000e+00 1.041487010108190023e-11 -0.000000000000000000e+00 2.119807620379635189e-14 9.663381206337363222e-18
.2968750	4.687307475218436863e-15 0.000000000000000000e+00 1.250833734530972485e-12 -0.000000000000000000e+00 2.731860690494730227e-15 -8.526512829121203024e-18
.3046875	5.151567791978001088e-16 0.000000000000000000e+00 1.406602505594107739e-13 -0.000000000000000000e+00 3.288962085215793316e-16 -8.526512829121203024e-18
.3125000	5.298770006552061782e-17 0.000000000000000000e+00 1.479275012261204112e-14 -0.000000000000000000e+00 3.695297955580224292e-17 2.785327524179593255e-17
.3203125	5.092224062662127913e-18 0.000000000000000000e+00 1.452676971025504902e-15 -0.000000000000000000e+00 3.869416312340070994e-18 -2.671640686457976927e-17
.3281250	4.562077964732071500e-19 0.000000000000000000e+00 1.329350296163023739e-16 -0.000000000000000000e+00 3.769135415541968950e-19 9.663381206337363222e-18
.3359375	3.798258813754347363e-20 0.000000000000000000e+00 1.130340946747878573e-17 -0.000000000000000000e+00 3.406316078091403456e-20 -8.526512829121203024e-18
.3437500	2.925919411491134680e-21 0.000000000000000000e+00 8.893925315023862801e-19 -0.000000000000000000e+00 2.845075784346660452e-21 2.785327524179593255e-17
.3515625	2.072634878583214799e-22 0.000000000000000000e+00 6.437989725839330125e-20 -0.000000000000000000e+00 2.183890192019858714e-22 -4.490630090003833244e-17
.3593750	1.338745587626900113e-23 0.000000000000000000e+00 4.252373056480909350e-21 -0.000000000000000000e+00 1.528402525228369979e-23 2.785327524179593255e-17
.3671875	7.796090802745259073e-25 0.000000000000000000e+00 2.534602215318258750e-22 -0.000000000000000000e+00 9.646102131643982690e-25 -8.526512829121203024e-18
.3750000	4.032948137897332142e-26 0.000000000000000000e+00 1.343324540413932181e-23 -0.000000000000000000e+00 5.409995581816789473e-26 -7.958078640513122925e-18
.3828125	1.818008754272863132e-27 0.000000000000000000e+00 6.209809604913733934e-25 -0.000000000000000000e+00 2.644828416912879201e-27 2.785327524179593255e-17
.3906250	6.965382779770304369e-29 0.000000000000000000e+00 2.441562557617591125e-26 -0.000000000000000000e+00 1.098952514053088701e-28 -9.094947017729283123e-18
.3984375	2.193745146543701286e-30 0.000000000000000000e+00 7.894772822513551542e-28 -0.000000000000000000e+00 3.752043821460544769e-30 -8.526512829121203024e-18
.4062500	5.419644354842499206e-32 0.000000000000000000e+00 2.002546467340664884e-29 -0.000000000000000000e+00 1.003865399761406035e-31 -7.958078640513122925e-18
.4140625	9.775415892405612717e-34 0.000000000000000000e+00 3.707084603308075533e-31 -0.000000000000000000e+00 1.957699238627891191e-33 2.785327524179593255e-17
.4218750	1.133709904425963709e-35 0.000000000000000000e+00 4.408033714765535894e-33 -0.000000000000000000e+00 2.448599257984647371e-35 -4.490630090003833244e-17
.4296875	6.256867286542114914e-38 0.000000000000000000e+00 2.489349687209319979e-35 -0.000000000000000000e+00 1.451684524248247473e-37 6.366462912410498340e-17
.4375000	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.194233360756582805e-86 -4.547473508864641407e-17
.4453125	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -4.035685150142935434e-87 -7.389644451905042826e-18
.4531250	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 6.424151871656100866e-87 2.842170943040400803e-17
.4609375	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.306784121758197478e-87 -9.094947017729283123e-18
.4687500	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.400135664335303966e-87 -9.094947017729283123e-18
.4765625	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 6.424151871656100866e-87 -7.958078640513122925e-18
.4843750	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.224423200326708799e-87 6.366462912410498340e-17
.4921875	9.999999999999999957e-71 0.000000000000000000e+00 -1.029511517893605784e-84 -0.000000000000000000e+00 1.185997268613433937e-86 -8.185452315956354657e-17
.5000000	1.000000000000000157e-70 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.389145043189686157e-87 -6.821210263296962728e-18
.5078125	9.999999999999999957e-71 0.000000000000000000e+00 1.029511517893605784e-84 -0.000000000000000000e+00 1.317774742903815511e-87 6.480149750132114668e-17
.5156250	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.317774742903815511e-87 -9.094947017729283123e-18
.5234375	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.317774742903815511e-87 -9.094947017729283123e-18
.5312500	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.224423200326708799e-87 -9.094947017729283123e-18
.5390625	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.185997268613433937e-86 -7.958078640513122925e-18
.5468750	9.999999999999999957e-71 0.000000000000000000e+00 1.029511517893605784e-84 -0.000000000000000000e+00 -9.224423200326708799e-87 6.366462912410498340e-17
.5546875	9.999999999999998348e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.169525084327136202e-86 -8.185452315956354657e-17
.5625000	9.999999999999999957e-71 0.000000000000000000e+00 -1.029511517893605784e-84 -0.000000000000000000e+00 1.153052900040838600e-87 -7.958078640513122925e-18
.5703125	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.224423200326708799e-87 6.366462912410498340e-17
.5781250	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.153052900040838600e-87 -8.071765478234738329e-17
.5859375	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.224423200326708799e-87 1.375610736431554117e-16
.5937500	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.202469452899731673e-86 -8.185452315956354657e-17
.6015625	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -9.224423200326708799e-87 -9.094947017729283123e-18
.6093750	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 2.223744878650188610e-86 -8.071765478234738329e-17
.6171875	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.993134298642021024e-86 1.375610736431554117e-16
.6250000	9.999999999999999957e-71 0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.169525084327136202e-86 -8.071765478234738329e-17
