#1_r	2_rho_self 3_rho_dist 4_j_self 5_j_dist 6_D_rho_shell_self 7_D_rho_shell_dist
.0000000	6.956997853486184208e-04 7.259902864224399011e-01 6.793785461284285176e-08 -6.600961910407932010e-08 0.000000000000000000e+00 0.000000000000000000e+00
.0078125	6.956987238222931379e-04 7.259902874538375350e-01 2.717507966223942084e-07 -2.640384622054625652e-07 -8.003715516388676815e-13 7.776574668244551975e-13
.0156250	6.956955392530356436e-04 7.259902905480305479e-01 5.434991054362181551e-07 -5.280749135749829293e-07 -3.201461781718317907e-12 3.110606150574790773e-12
.0234375	6.956902316700006765e-04 7.259902957049875205e-01 8.152424384802459123e-07 -7.921063343019341119e-07 -7.203197417218754761e-12 6.998774901914584325e-12
.0312500	6.956828011217787086e-04 7.259903029246611572e-01 1.086978308029173945e-06 -1.056130500387553184e-06 -1.280545633749325023e-11 1.244204514048996660e-11
.0390625	6.956732476763961620e-04 7.259903122069853998e-01 1.358704226406270976e-06 -1.320145010197393276e-06 -2.000806758155338101e-11 1.944025086041134813e-11
.0468750	6.956615714213132406e-04 7.259903235518754272e-01 1.630417706122155863e-06 -1.584147440780725447e-06 -2.881081134872842960e-11 2.799317863316774989e-11
.0546875	6.956477724634232800e-04 7.259903369592273226e-01 1.902116259853980917e-06 -1.848135376292248111e-06 -3.921341901171049505e-11 3.810056761525959622e-11
.0625000	6.956318509290503613e-04 7.259903524289185173e-01 2.173797400521759737e-06 -2.112106407992087043e-06 -5.121557311936475597e-11 4.976210956415816800e-11
.0703125	6.956138069639484448e-04 7.259903699608074579e-01 2.445458641288367208e-06 -2.376058112929513300e-06 -6.481690740814394900e-11 6.297744882421962793e-11
.0781250	6.955936407332986588e-04 7.259903895547337171e-01 2.717097495635867332e-06 -2.639988075259225297e-06 -8.001700682089274971e-11 7.774618237754716091e-11
.0859375	6.955713524217064809e-04 7.259904112105181051e-01 2.988711477414085493e-06 -2.903893893346776167e-06 -9.681540751121931875e-11 9.406785981186384126e-11
.0937500	6.955469422331990274e-04 7.259904349279624469e-01 3.260298100812852873e-06 -3.167773144241436967e-06 -1.152115968568179374e-10 1.119419833764401298e-10
.1015625	6.955204103912221263e-04 7.259904607068498050e-01 3.531854880431395394e-06 -3.431623419203333469e-06 -1.352050134829918722e-10 1.313680079671752969e-10
.1093750	6.954917571386373893e-04 7.259904885469443681e-01 3.803379331368539340e-06 -3.695442295281736733e-06 -1.567950472862456259e-10 1.523453411556019675e-10
.1171875	6.954609827377173335e-04 7.259905184479914508e-01 4.074868969174139099e-06 -3.959227370842199889e-06 -1.799810394351175724e-10 1.748733432158089502e-10
.1250000	6.954280874701425624e-04 7.259905504097176054e-01 4.346321309960099466e-06 -4.222976237144848710e-06 -2.047622824163930637e-10 1.989513271347109822e-10
.1328125	6.953930716369964527e-04 7.259905844318302881e-01 4.617733870393436746e-06 -4.486686464133526897e-06 -2.311380200051282971e-10 2.245785586313386970e-10
.1406250	6.953559355587612522e-04 7.259906205140185254e-01 4.889104167737912121e-06 -4.750355657279214938e-06 -2.591074473984323028e-10 2.517542561783492497e-10
.1484375	6.953166795753133083e-04 7.259906586559521369e-01 5.160429719944237270e-06 -5.013981407842038607e-06 -2.886697110915381763e-10 2.804775910764112832e-10
.1562500	6.952753040459167802e-04 7.259906988572822906e-01 5.431708045580685429e-06 -5.277561299976696318e-06 -3.198239090307364692e-10 3.107476873673298708e-10
.1640625	6.952318093492198441e-04 7.259907411176413916e-01 5.702936663978808163e-06 -5.541092924943313847e-06 -3.525690905778478339e-10 3.425636219980821182e-10
.1718750	6.951861958832472122e-04 7.259907854366429714e-01 5.974113095226496473e-06 -5.804573866896589607e-06 -3.869042565712855216e-10 3.759244247547588824e-10
.1796875	6.951384640653956873e-04 7.259908318138815764e-01 6.245234860195736371e-06 -6.068001731307504087e-06 -4.228283593446513855e-10 4.108290783219615087e-10
.1875000	6.950886143324260316e-04 7.259908802489332125e-01 6.516299480598120031e-06 -6.331374116541610420e-06 -4.603403027234054442e-10 4.472765183416438930e-10
.1953125	6.950366471404580875e-04 7.259909307413550117e-01 6.787304479012601366e-06 -6.594688599648179661e-06 -4.994389421583700415e-10 4.852656334056182766e-10
.2031250	6.949825629649623209e-04 7.259909832906852323e-01 7.058247378941007177e-06 -6.857942786098192300e-06 -5.401230846449612424e-10 5.247952650810905705e-10
.2109375	6.949263623007538582e-04 7.259910378964434807e-01 7.329125704814976050e-06 -7.121134274257201469e-06 -5.823914888425374509e-10 5.658642080524912247e-10
.2187500	6.948680456619837041e-04 7.259910945581303787e-01 7.599936982065347291e-06 -7.384260648279905581e-06 -6.262428651113150845e-10 6.084712099926892556e-10
.2265625	6.948076135821318030e-04 7.259911532752280072e-01 7.870678737108283141e-06 -7.647319513637285127e-06 -6.716758754646280005e-10 6.526149717545060128e-10
.2343750	6.947450666139987985e-04 7.259912140471994624e-01 8.141348497470168866e-06 -7.910308482905747951e-06 -7.186891337601642089e-10 6.982941473740456150e-10
.2421875	6.946804053296971437e-04 7.259912768734894106e-01 8.411943791766796075e-06 -8.173225140239992470e-06 -7.672812056108702488e-10 7.455073439338600448e-10
.2500000	6.946136303206427521e-04 7.259913417535234226e-01 8.682462149710301613e-06 -8.436067091110999172e-06 -8.174506084873689691e-10 7.942531220428428405e-10
.2578125	6.945447421975456739e-04 7.259914086867085281e-01 8.952901102227128760e-06 -8.698831940989748546e-06 -8.691958117729159613e-10 8.445299952991592332e-10
.2656250	6.944737415904015309e-04 7.259914776724331054e-01 9.223258181423332758e-06 -8.961517281136366364e-06 -9.225152367736689031e-10 8.963364308756106393e-10
.2734375	6.944006291484807825e-04 7.259915487100665477e-01 9.493530920674786433e-06 -9.224120731232687831e-06 -9.774072568885516824e-10 9.496708492118256593e-10
.2812500	6.943254055403199438e-04 7.259916217989597076e-01 9.763716854654935773e-06 -9.486639889644266077e-06 -1.033870197394426493e-09 1.004531624222426800e-09
.2890625	6.942480714537103102e-04 7.259916969384447860e-01 1.003381351930704435e-05 -9.749072368947508949e-06 -1.091902335874639359e-09 1.060917083308687825e-09
.2968750	6.941686275956888497e-04 7.259917741278352210e-01 1.030381845197603230e-05 -1.001141578171882429e-05 -1.151501901915930200e-09 1.118825507469001249e-09
.3046875	6.940870746925257347e-04 7.259918533664259099e-01 1.057372919143623191e-05 -1.027366771921833788e-05 -1.212667077425400065e-09 1.178255131210059814e-09
.3125000	6.940034134897145844e-04 7.259919346534927653e-01 1.084354327782199867e-05 -1.053582580823331227e-05 -1.275395996472861261e-09 1.239204142775563039e-09
.3203125	6.939176447519609719e-04 7.259920179882932700e-01 1.111325825276648915e-05 -1.079788766844558268e-05 -1.339686745604473843e-09 1.301670684107914004e-09
.3281250	6.938297692631700646e-04 7.259921033700663662e-01 1.138287165943635548e-05 -1.105985089822070222e-05 -1.405537363662334835e-09 1.365652850883192334e-09
.3359375	6.937397878264353482e-04 7.259921907980322331e-01 1.165238104252480644e-05 -1.132171311013507875e-05 -1.472945841945461223e-09 1.431148692650485745e-09
.3437500	6.936477012640259419e-04 7.259922802713922874e-01 1.192178394832793531e-05 -1.158347193808140219e-05 -1.541910124430168244e-09 1.498156212951795666e-09
.3515625	6.935535104173747804e-04 7.259923717893296269e-01 1.219107792475165875e-05 -1.184512500174150773e-05 -1.612428107417018978e-09 1.566673368984528107e-09
.3593750	6.934572161470646274e-04 7.259924653510085868e-01 1.246026052136722795e-05 -1.210666990658637587e-05 -1.684497640109250455e-09 1.636698072358111631e-09
.3671875	6.933588193328160416e-04 7.259925609555749615e-01 1.272932928939735087e-05 -1.236810427940326917e-05 -1.758116524165909175e-09 1.708228188556093588e-09
.3750000	6.932583208734737152e-04 7.259926586021557826e-01 1.299828178185497007e-05 -1.262942574697945020e-05 -1.833282514491219234e-09 1.781261537339706855e-09
.3828125	6.931557216869925963e-04 7.259927582898598741e-01 1.326711555352938499e-05 -1.289063193610218150e-05 -1.909993318323088840e-09 1.855795892391487548e-09
.3906250	6.930510227104235777e-04 7.259928600177774083e-01 1.353582816095849628e-05 -1.315172047355872564e-05 -1.988246596278386818e-09 1.931828982280614645e-09
.3984375	6.929442248999001606e-04 7.259929637849796835e-01 1.380441716256758378e-05 -1.341268899324177255e-05 -2.068039961545254089e-09 2.009358489339363799e-09
.4062500	6.928353292306232763e-04 7.259930695905200126e-01 1.407288011866236754e-05 -1.367353511483315742e-05 -2.149370981061049609e-09 2.088382050848270008e-09
.4140625	6.927243366968463241e-04 7.259931774334329457e-01 1.434121459144288568e-05 -1.393425647222557018e-05 -2.232237174138451756e-09 2.168897258187918616e-09
.4218750	6.926112483118605345e-04 7.259932873127344921e-01 1.460941814508676106e-05 -1.419485071352255545e-05 -2.316636013938166969e-09 2.250901657569470912e-09
.4296875	6.924960651079790312e-04 7.259933992274221204e-01 1.487748834574920132e-05 -1.445531545840594845e-05 -2.402564926789474501e-09 2.334392750104608040e-09
.4375000	6.923787881365218696e-04 7.259935131764752025e-01 1.514542276162544887e-05 -1.471564835497929380e-05 -2.490021292242961243e-09 2.419367991071119930e-09
.4453125	6.922594184677986892e-04 7.259936291588544588e-01 1.541321896298547545e-05 -1.497584705134613614e-05 -2.579002443608979913e-09 2.505824791275146450e-09
.4531250	6.921379571910944023e-04 7.259937471735019576e-01 1.568087452215316535e-05 -1.523590918139916539e-05 -2.669505667606819831e-09 2.593760515882670643e-09
.4609375	6.920144054146506541e-04 7.259938672193417819e-01 1.594838701363815447e-05 -1.549583237903107147e-05 -2.761528204732188947e-09 2.683172485318241772e-09
